,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,330.048646874455,221.20852424628512,249.89930392185514,224.10630026606452,252.50722029396346,236.6803771001958,245.35273056645983,238.50887400030166,253.47049902528397,239.14531075887334,222.01879024204828,241.27888717797634,197.75995391814064,237.31816814433927,265.3070670063402,264.39079926413694,218.56855319218707,251.12406698765878,218.6202266589737,278.1227115697307,253.4798688404504,254.2451521341845,230.53453165130833,271.21855711356267,272.16830073439314,246.3100606129254,225.44039368475035,258.7995208327546,215.92929715979722,273.4446080349916,244.90264378428856,211.5231689567097,222.8188802256979,253.22959907514442,201.4654925114945,247.37875393266668,253.17392547691225,229.55897503209061,242.41094119297654,242.8756715109807,252.67700841473254,228.16326700503274,226.7837229241812,238.78979526690816,234.81918041997537,288.0444575291309,200.69962834467685,244.56764249709667,267.95954611883855,253.77065496130385
P02,229.60046635424004,212.05461610517796,213.6115884915841,217.4650198541795,251.15239398409886,235.89404414147768,246.68187075888935,180.23378107613124,271.754332221684,275.3723009671695,193.79800533005096,201.0788874847025,192.57792286446065,189.00720639641762,187.63373382847115,223.94469594975732,219.17378877869098,200.03711694807816,223.09457508524812,230.73327988574061,209.41504478131415,254.3274460676809,186.7117745630464,233.03576795524532,198.96695146751057,213.02200808756794,220.72662377699322,216.9620480991741,270.7532174718528,256.9504694699502,273.1716648957615,251.251837886897,294.35886911128694,265.62120825404895,305.0407105068046,271.0949963209415,280.79220361534817,229.18481561869942,247.67063870479612,191.78514760921547,231.00957739686444,209.16241260241557,273.3793560333464,246.98106937711756,246.92501222620604,237.23776277641423,235.40330429637035,238.91189592522477,246.95917149216635,236.6318293316842
P03,332.99434980716114,346.99235995384964,289.1088544312098,315.28680463919716,333.0814008260569,318.06115279489296,385.2366091214904,335.6645344066427,385.2960011917389,359.6790564520077,382.47841361980284,326.7181795864371,356.8106168063595,332.45264251708534,301.51485901612915,275.90793084985967,344.94076569401096,332.40985157007856,331.9328820150862,245.58564575160887,309.5604889084759,430.4187175031634,335.55138744954684,352.34120847360464,284.3080581721744,304.1981476441581,254.43887506324805,250.86484270225827,282.16123868741505,285.8186995262022,270.2702908441855,316.9003741037695,326.1357273428176,350.09451657498676,247.64793288161655,316.64614940852465,295.1130353620025,300.4498098204333,315.0240474076301,284.59613948001913,337.71265833938327,302.80497248957005,290.30267754550783,315.52491492997297,328.84068108884964,265.17855370833496,287.79949338694865,309.7239169102336,276.03619398310303,248.2466739538833
P04,225.51767016152257,215.67115359578855,222.03181598991264,215.83098573875344,205.47424816465042,216.38364765282003,232.6103276606522,215.82505834477632,252.91013796807687,239.31414691006972,210.67122774419704,182.40103975362578,196.54843733997848,171.88765945005483,187.32346643432473,250.7711004520987,239.95494137046686,270.78916650989595,218.97604730243367,201.57291786127303,156.51962892701906,260.00404400389976,256.14253616579725,213.19799473872007,187.40212774834373,196.86562082585928,252.42040173018654,209.26515145136318,172.5820957274598,255.0767106996429,270.1876645924808,231.00511862212159,238.131083605515,201.9042235490404,226.0479936189791,214.37395398446202,212.76334447265117,187.5799733395201,220.34440672577176,208.37978757109758,170.7343140152486,229.68652630904785,213.14041621273168,214.3909219716939,241.82057911088208,238.37268431140797,223.84491769133578,175.2440594355247,203.48118872221121,256.54564440387026
P05,160.25103551550214,182.68206132311502,160.81500236547816,169.04492344548706,160.32831057799885,144.11415104994282,135.74881383295767,203.4563298002183,170.44011967379421,125.12031409329641,152.54995296023958,153.94008509999676,158.9171877956244,173.25575107540743,159.28001872721924,160.91166142347976,185.08313137662023,173.20072798809267,146.56256523301693,182.9436763936518,211.9759464403588,175.25915825051578,152.77970343846937,189.19902426081205,156.5661988604812,169.84265201435105,224.78858025442028,162.64183142623833,169.5047321873248,160.6977118478182,165.307454135031,200.7407335920581,168.88117213619535,159.81548620631688,170.25299989604335,147.91898612862752,201.46728131293176,141.6824095446301,162.8618296476001,186.58955143463317,164.62069230602512,170.03684036753575,187.06895937582885,180.59584498998186,212.15981746877137,166.11172926564237,198.16233263683824,186.28124535797335,178.68363544631643,202.81754760599267
P06,215.32341276093175,255.0245411922118,224.40178698216317,204.77888970971236,225.685035021073,222.67631723197164,216.3595065260218,231.08520275623013,219.05358217876727,204.60630979960354,173.91699081026397,271.8366520192282,232.10439018072822,234.33583183370396,208.97407813198436,205.9305790434837,243.51781762452848,200.2220614538032,210.9457379843565,235.17001806116153,243.23691290328208,236.03079439707489,207.48997258135265,222.41393719896718,224.15874670414837,201.8117862996316,233.652271415126,212.4179816292985,226.62820607986154,198.55182610483266,236.02698483009462,179.00750606535428,254.39588947493561,212.6160802389219,231.71304723849596,225.04710373173234,223.7965811875282,242.39594468513283,201.3434273982575,212.60688013260398,205.3203562724624,208.71983594337868,234.1195718188509,200.11068711842728,212.3549382301826,230.46621249646145,199.4391641318172,210.3358818319251,207.28976032869977,219.05487126732135
P07,198.78899918424202,237.0635654197909,196.56996001748283,192.02566742649944,208.87613783551615,197.7665835391411,240.7928843230271,223.1163209708855,169.91135444577478,208.56311035262524,216.97798954037196,208.2029200100997,191.16532136724607,208.76819678047184,217.66549930017854,224.6394686776758,234.10804348021563,238.17839310848845,243.57598598684834,208.6274790916803,233.65048887843628,202.12513024673208,252.45282029372626,305.87597205367064,314.4960239172146,262.20460146082706,207.26922685317837,244.00411524395003,251.7466600740881,190.573185544255,209.42702339674267,164.67721383451527,223.03792011621942,181.4855586482453,273.2098408442657,221.04907326092396,226.85773150695178,233.9751519850227,174.83656931174485,216.77908347199423,214.68867290810218,198.752459837267,212.9744704322464,215.89971497155548,219.87351997616287,226.86414472305032,206.8282249818442,210.25456778224884,227.11960817028165,183.1792595214024
P08,354.2895532012174,411.6280672157067,341.1716314600203,307.19763809754613,314.2074277375157,385.58293833119126,386.51567201829823,358.11252984859635,444.88361976094956,366.4245967948671,316.02725319498086,343.8783602726548,379.3085732307767,352.36077456947874,366.30294650341864,324.5527121506338,308.0765991581583,348.39073827817396,281.4389946201063,301.1964991049116,396.3250643419007,305.5119052480983,322.18077186926456,338.56703131675675,386.69431197578155,409.4920577332883,362.2674054959789,337.68941212971373,351.03109975090206,318.5470585945167,350.11565451857905,320.08132351426445,368.4955040625693,363.6507260643826,377.9152072206559,310.86432831510433,384.23784373217745,338.857083224572,382.9207690630159,368.28115966610716,337.8069319490895,316.52826647507516,431.10461703362057,481.60788190737736,355.9392891626308,390.7505105069409,385.6586773219529,313.08845379016907,312.2227853961189,375.84255833009814
P09,221.74293724320023,200.01879983265195,181.40342656866474,220.6952918181378,207.3034041934676,237.6336722559812,198.10745010480446,201.49566680453864,234.2495059845833,187.20359406019944,238.647371430533,185.20353276600477,249.31879625002333,209.20656100147445,217.02712575288166,210.0719875571927,199.11013107582585,238.42490948572896,175.9264522026273,251.12154265225016,197.7842664682029,260.0360910647551,211.53230198588813,204.93142148375395,188.52873259752087,224.14020112361956,203.7544379483722,207.1338795376366,226.3947941093572,242.39271483198834,221.63420471360308,198.685627525942,175.1904116947699,192.24178655924348,212.92205964956028,258.0491434434934,204.01858352410576,211.68616008007203,212.24417142756937,186.99883294559385,206.29727083200072,209.73233471402077,156.88111725391485,182.72300767197385,213.18305157971577,137.97321412824007,211.63852284522886,208.20903378544472,217.77001921910318,190.0878223305608
P10,246.16519379814287,230.7160276070116,246.06989331295713,226.08220909636404,192.47379324569408,184.1218466605242,222.0211979919048,241.9557261703395,224.9802615544219,247.90976082556816,235.57110389729533,218.859447984211,248.26611975623675,203.27451309038725,242.3655735637652,220.94227847538903,252.3868553761143,198.0184192774687,240.77705611321574,226.6329226317928,192.41473766799493,231.95900115344327,210.79139775298643,212.984113238931,215.8646845098717,186.79900896294515,225.9500346553176,220.73616469342838,217.93633717723054,185.822324953992,214.6897128120168,202.26928895905365,174.49237258958578,255.2110297492686,201.76229199330155,222.5767321539262,225.12909552127903,216.88824955201983,248.48551482101524,204.30616127977243,186.79263680304507,200.2401461453044,214.92937103197463,213.54940461118937,252.60679119269153,218.23454085600838,182.3010270769395,183.87447261639602,256.7583633825698,206.88368414546977
