,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,417.37098815743883,311.01755046490143,345.7247299946492,308.6151411459161,338.63064513091865,308.49956724117993,318.938312414611,314.3153093694677,330.92128404147235,302.44244112057646,321.2385715420615,317.7143290967074,281.26155776155787,321.10759810953607,343.66380401630124,336.251987258212,299.7655466864826,322.704032373289,309.79991667956307,356.4417312420401,332.4345982053742,321.90465226797454,312.50985703053294,377.4165084537612,343.51612916485595,321.1783465965647,317.1045450606374,319.3613252310806,284.41298419282975,351.1117676729916,312.0159788681517,294.63024453264757,295.13734915289496,369.77180696650754,277.6629761875725,336.63908134948065,319.60024085136763,290.02249260403926,312.44550704986864,317.3771243967058,339.07526219664834,321.4516291737539,302.0428035142221,328.0117276682947,301.1771540133308,368.90745622595745,279.6725991076372,319.9661028355959,342.3728672951586,335.6255014588224
P02,328.7922845646529,275.2511142692482,299.15930041971353,280.1451392936409,346.8330199040605,370.8995736303064,359.1641596231454,256.90224854615764,381.84354821895016,380.4983881112167,316.64553698619596,284.9124521626359,265.201971090631,276.1816239598618,270.3207476105475,308.581391878889,332.1291534504276,302.62783575506734,321.2099739496732,351.38579639869755,298.9337595079754,368.5960414584184,267.73846591478133,314.7690166922246,275.3320722865774,289.9363180542186,325.3415441835633,285.57219212818313,353.7114872149797,357.7248223978208,365.8230458522762,410.2221161636113,391.1790946296068,339.8329786721036,428.02135722381155,370.70896760930344,418.8431718706258,322.87706602175024,360.1673629009865,258.1065412102034,303.7729939759317,295.12006358602906,368.6536451737998,337.2277164449697,318.58896279440347,329.2264565081384,316.74783860548627,324.6000392237235,327.55055349529135,311.1250841728863
P03,445.6020500598635,455.98408070082905,403.93121492285906,420.00450822398545,473.5837830574871,410.3023598174958,517.113368194809,438.47100997334326,517.0377227102554,506.72230256270996,514.6313048549528,476.54813719937306,488.09549827074625,433.3246667620353,415.4435277114525,354.8517209514116,455.1352450105355,444.1634821961632,439.4993352330912,366.64668776213387,405.98876096014817,554.9131844473864,441.32978292768024,447.3954024323978,418.2447765309145,405.0356933584748,363.4676991290616,334.33332970619836,379.9554717475898,408.3652587397019,361.4884332216285,411.73313823869205,483.0709386944255,433.0420474377246,324.6977879727828,445.3248529052422,377.89441956346485,391.1587555834695,395.7611989053157,371.9011957854419,437.73804180217854,464.30940837827404,396.2098317153883,402.8746369661005,444.96602367587394,357.1453551573558,391.9285891254885,401.60173639399846,355.73462254503477,354.29119918632244
P04,286.43996148164905,266.3220009301845,297.3522114779464,286.9014511896151,278.4266544759762,266.5186334675207,302.1182420625204,283.3591340583757,318.00730383684515,307.16372287864607,271.2006811689491,232.65868142892575,247.90000905635446,229.99327324032794,248.25799480861994,361.31663258682505,287.67564937561986,336.0591460289255,268.8193192200407,257.6937127143356,197.43812392423203,328.9051145214421,336.8599819749259,271.9421137237623,244.9670907942283,255.92288167508926,327.169794162082,271.80842799980877,219.45125287237747,322.20803076902547,381.4316067758108,294.03553950282117,311.42085691209246,255.8420158448372,290.0101968722701,271.99867638704194,276.2971064501506,266.08296392273587,283.6356875985026,276.42865779966473,217.006105719504,298.8403252784222,267.12850408608625,275.9101193901932,313.7904838456852,312.7303145520306,274.3140095182246,229.2837223558861,255.10738888095594,340.9770507555633
P05,232.58226956131028,244.41657661296605,225.96431251816867,247.52863281388497,216.20432935844224,225.8613107421743,192.15929654064593,266.2511205620513,243.85230433578346,191.0035483464372,222.98619209257825,211.23872041439344,223.85621814972873,228.88515719975334,222.81393954311469,208.91108506678825,252.18923826669692,248.15778184589945,195.55522022627395,237.63692737290626,312.01247020918333,241.56017691569582,218.99928258990988,273.9706363642198,218.4388398593122,244.13838860054727,285.82435618395095,228.03899084168916,225.67060876568777,249.0181380419194,220.190396886321,276.39967016907246,236.27116227586131,218.92223085687135,227.2113574366887,195.96381170641646,280.0594697198886,202.10573901934282,219.21005366879726,266.1606870566976,226.24178865898648,236.05123501261872,261.7285228499177,264.30290252847186,300.62121390207056,224.48491427464361,257.29864835992896,253.4617808555304,260.1404680089925,274.4145424502441
P06,334.4517583811293,393.4724946637637,334.39603458312337,288.72776990763333,333.5005266913534,311.34390878535015,327.6981445957428,336.8148352217463,307.25258248102085,306.31893082990666,275.28624713553967,392.5914125928199,341.6926598150779,361.2443276737549,312.90720588102016,292.3224618434893,351.61054285700277,294.47519241824745,347.4994137905529,342.0028744126868,345.7613725565197,405.898301729125,287.5176475704271,335.01323098771314,334.537368397062,296.5696861910566,340.33498856943487,302.54379535008053,326.93678232808463,276.2470421311955,333.1452981147859,274.76778873310457,383.2191403565305,312.06788701627994,324.6698705271341,328.4401146807877,325.29094618592563,367.917738717849,287.3065566519035,306.1441426102222,310.52852718548706,319.77820583513557,336.6732525893743,294.6685442277701,313.4149923587772,344.84195745627954,299.9605275926702,299.7512286882921,302.93951217349604,323.20467936999404
P07,268.0563940177366,321.13404107830667,266.5772691770132,248.01857011454743,257.3228686755399,244.67182917760508,307.3812548672754,272.05141779875817,232.68460376513562,286.0886783372591,274.504582276132,279.2941078490576,232.49897535391253,258.3874614911907,321.70410123410386,295.54108563988257,301.31014049394474,313.09439230188525,331.61473245326385,257.36606149393026,319.3138533263211,272.38164431299674,323.5367115232008,410.04086374405983,407.17893643609233,344.48095252589565,269.89162931250087,313.53118580234764,331.1135812450285,253.65834340748768,266.73348209674504,207.76514220712076,310.58290381813066,234.2600042921059,356.0141388993559,315.44472712144494,284.96958962846827,300.1085383646341,229.68707788076222,270.1542365164208,292.7591174222426,258.3073160702952,277.77814146593084,286.26972968909536,271.10917381091315,294.6966393690247,269.0292415044014,268.6298541814187,274.7007940551538,252.8438903703333
P08,469.96614675907745,499.646092933635,445.8172126578797,436.87374379116125,442.82350175618734,518.9513481290388,554.127864903164,483.31290288589554,628.9074409856332,479.2095093150906,406.6039625003578,572.2115565360646,535.9910965714043,451.74603485341277,472.32922291948705,414.64935856516456,427.0651723317625,455.21847296080324,380.7746539807424,398.26685628989856,531.428259274077,401.9481690693343,415.7396050206244,426.5949028189964,498.3960609913873,537.3661541290055,474.3192681422893,484.5805618403853,502.3175695507387,438.88228341005305,496.94066332530804,423.3935419115557,490.6569629750509,486.14693704539826,533.313706487583,420.82564798030603,521.4518222043913,425.3404032174296,547.1016409592747,496.5032208593671,470.79057073356114,424.41143390365175,569.1318087117244,609.6037219611642,472.69012896913034,515.8712386799141,528.6887884640748,409.9687198167446,430.22890929842254,491.22716991966655
P09,311.6626549960938,270.9930382004979,256.3592197218561,305.11420026374685,285.0138519186152,318.8386230237097,265.9013880636821,280.58319316619486,329.1683168059538,270.0832491995488,310.2638672980389,272.1174769847764,359.3484624445411,280.1317558321769,292.250321103005,275.54584350017353,272.44065520618926,366.10166794750046,263.98491242157,349.22148378616646,261.72913910041046,353.62391660482064,278.61704229402346,267.5606692727173,272.9204855205013,294.5838506197584,294.87812194694993,282.4158100699819,283.32156976522407,314.9722893949202,303.42226092267083,268.1096798564558,233.0598982346594,262.93247893922813,293.3832391154223,340.2716272988297,278.60669385869244,292.1214740731948,322.4321464127764,248.80296822009126,280.25327476577576,271.10696273152064,213.9500932934316,237.28369726253015,283.1696080618743,200.36359033995674,302.20050330240923,273.77890353559616,292.12395383591536,256.2056739465214
P10,338.39744523416925,363.60227921146645,374.3175721991615,312.0998798773906,264.409168801369,253.76030949994723,295.3249817886727,323.721649646131,353.0819986751187,382.8628945468068,330.70695160089855,273.3572462316574,365.10222794520956,321.13275145036073,342.65559732438305,314.27108581854355,341.75598342416845,270.6059592337867,311.72055492978734,295.6894192534258,241.79054390608542,308.9709176602862,292.9090623375758,315.99397371606153,350.721278823469,265.0797675067804,317.83563159335955,303.57682164488676,317.2291511085326,256.91625842067066,309.3107217451262,258.0243529229498,233.99011028301413,369.29350372919,335.2161320336763,302.1222128921165,319.51893900612345,307.44121169195336,357.7684719599087,284.4489547432675,235.19855683252507,282.19684650511346,314.5758498208147,336.347207858998,314.2740513834439,299.348219298134,264.2055047198489,263.83684848171924,349.1347026854054,264.7921614374648
P11,383.2534494826101,316.16670336531513,424.1284466603117,308.16103099129197,357.9373441199761,357.5289676325983,386.13120026081293,357.49475907494656,293.6897129629026,291.13087076717477,378.0892381618186,153.1904757810209,335.4699889738073,342.32837606841474,190.00420676556877,342.41491621789453,353.7387797971723,308.28774980066225,208.39487750134933,309.06788277380696,180.27774729720386,331.1505064829486,344.1622182617656,186.58646652455224,350.2486282081956,352.11441409947787,315.23795958828987,321.59729650677434,354.2024629433262,202.37216843135485,290.90943959095654,226.1320464666323,217.94985245999845,312.854574786327,177.28720627333124,345.1617480814738,320.5506088269012,326.50533541667437,202.8762786540614,315.03595625571296,302.54939980825486,440.9002723570773,205.3109931543889,387.48176656591284,205.62229769802718,378.1693863578307,309.47735119007245,187.54383331647492,172.64416193917756,186.423949412239
P12,320.33091602987014,198.50670348000745,278.07512222684045,277.89311027661313,342.41484945477856,244.42946539075447,284.10834958160524,325.34404746819024,294.8065424913372,269.86474685870286,272.31780311904,321.7658545390508,295.1099871668168,288.211785380761,301.68003271472054,310.19223709123963,323.5354872410135,328.2115812458193,297.43564190615047,330.6216021602862,309.7162900178637,282.99885542183546,275.43012868766755,278.0920123855009,285.335456863581,328.4423102464577,238.1518549764109,206.69555527478786,223.20525683642737,244.8804921408345,258.9495142662213,233.69224204479409,217.43978731329406,179.48606588071354,264.70186860318626,259.8051810447664,288.58586442496124,310.5493288218159,312.92623714678126,305.7970042611568,262.92951269757276,229.14618844056233,312.76121797614303,234.78480133882107,337.45234834472683,322.24571696173916,331.96700913055446,411.3031787483805,298.3245046717798,327.2296833202469
