,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,71247203.57800643,39563353.92914969,48885965.8723181,38954511.8859061,46900321.95310891,38925341.04209007,41604153.67448492,40406792.50494589,44789138.55874764,37411814.94810811,42206435.91717112,41285439.51956869,32355198.12465339,42172026.63154321,48304867.36810048,46243748.16445458,36752487.63892053,42592398.03658213,39254179.24523767,51963739.47826649,45199719.69234315,42381645.507072136,39943925.99316886,58259277.329052046,48263362.37753006,42190611.90190375,41127114.63172856,41714587.32582098,33084314.94118557,50421304.61996721,39817774.16724182,35504055.226287395,35626376.43978411,55923056.39395593,31532561.89324425,46350281.27655529,41777024.40647115,34402235.90245034,39927477.70414065,41197849.787941724,47023561.67439386,42262440.30847037,37313010.75828497,44005002.63656728,37099440.34272395,55661918.90497464,31990655.94087305,41872727.54819385,47942644.72630248,46071591.18685977
P02,44214685.853200674,30987138.945743255,36603981.39429347,32098851.31957007,49199895.7715701,56264695.931129515,52760547.46514031,26993495.01100134,59634038.584423035,59214620.55229074,41008138.002150044,33200618.107506454,28765822.957375556,31197002.36996056,29886982.39478866,38945992.4442902,45116697.79982436,37457695.252282575,42198921.57218264,50500038.96549549,36548809.56259099,55567984.08753579,29318709.427333817,40523529.3525805,31005369.762115017,34381795.02747634,43291472.2320439,33354554.059010442,51170732.820823595,52338522.860856935,54735038.858544365,68827413.49720831,62585623.386772715,47233959.437800154,74929733.4360429,56206881.714375846,71750707.47266245,42638086.30299079,53055696.48331183,27247165.52573722,37741715.03446248,35622203.43978793,55585353.63087133,46512515.890123755,41513061.23069525,44331534.40294621,41034640.043850094,43094360.854793526,43881350.32388434,39590716.56264851
P03,81211525.49017921,85039886.0777053,66732614.39312429,72149148.853745,91731174.22619176,68854342.82696858,109369150.34640406,78633042.07410087,109337154.7425114,105017904.19301191,108321760.39411491,92883133.97089073,97439021.11175673,76798039.13119143,70590669.80939059,51501175.239631,84723569.32157728,80688010.35689816,79002303.2591646,54981785.60159997,67414191.47661613,125942814.68987745,79661738.7152883,81866522.26211771,71545835.4760164,67098050.373801604,54032486.23886119,45717519.11914531,59045759.64897181,68205733.47912738,53445619.927388355,69335388.4436677,95443230.51074538,76697894.67326412,43120319.28739706,81110517.86756591,58406914.66591808,62579115.376469836,64060412.962619916,56568994.26549642,78370368.63548958,88173539.72381037,64205732.37590596,66383961.00222203,80979857.75040063,52169097.1265838,62825679.76032346,65965137.46194193,51757772.76599868,51338601.81274091
P04,33557571.27724591,29009309.945397995,36163100.10736757,33665789.062135205,31706253.386378013,29052162.432026416,37331651.7644616,32839591.131413825,41361615.92507403,38588967.03494189,30081872.071799304,22139195.376096763,25134855.526467513,21634834.44594226,25207501.08243628,53394830.97440804,33847727.210666984,46190721.598543495,29555904.991843797,27160074.27515191,15943561.426496645,44245036.91257045,46411130.80956429,30246577.905568004,24543630.10902477,26788077.23823663,43779390.35273217,30216847.006476443,19696970.62638777,42461568.172649786,59505438.89485888,35360871.48270248,39666026.59902355,26771151.062263917,34399318.944566175,30259161.502127834,31223097.232384868,28957258.76917236,32903724.141305424,31252836.366845973,19260484.817093723,36525965.86511789,29185273.817365512,31135695.138601467,40271967.31061266,40000302.10268311,30776503.90954753,21501549.362984765,26617629.963418648,47552527.79906245
P05,22124655.454744607,24433440.335589577,20883487.047509715,25059603.441648837,19118423.62163351,20864452.66128077,15102404.856021322,28993870.61302413,24320754.048917465,14921283.391700279,20336642.322354816,18250314.973944902,20495647.01935827,21426861.81121952,20305235.126781613,17850331.15868718,26012159.466092564,25187154.4384869,15640914.26051832,23096765.48375549,39816878.66050894,23865689.500260785,19615920.481932137,30699503.02223456,19515650.444464635,24377853.090484977,33413485.09847975,21268728.569735263,20829234.477216534,25362103.52721055,19829878.65031082,31246282.066854972,22832041.408383235,19602119.75380985,21114625.38782309,15706342.538889712,32079222.391132146,16706312.465522878,19653696.48045608,28974178.135807775,20934806.89666756,22789555.89035186,28017244.246338747,28571113.93255473,36962603.72741337,20610931.985389683,27076861.12916917,26275335.61097288,27678282.806238502,30799066.51324431
P06,45749913.28184979,63321627.05928254,45734669.54947122,34095763.57237662,45490043.93309475,39646427.080935836,43920904.254340366,46398691.38920991,38611297.12147392,38376996.54037385,30995049.805545494,63038359.05182493,47752334.37254454,53373462.88907345,40045566.072337255,34950040.474579446,50564659.303912245,35466696.33045342,49389139.61717417,47839080.137574874,48896329.04163688,67384153.42075442,33810556.64475281,45903650.75916218,45773337.59929891,35973013.71589186,47373612.91782397,37436893.974876046,43717052.792367935,31211783.16906991,45393187.969299726,30878411.129639514,60064476.000059664,39831023.73768351,43112904.65469536,44120019.75299535,43278007.66524872,55363656.14747146,33760928.515525945,38333212.546310164,39439038.174159005,41823563.27919958,46359691.514725424,35513286.34154114,40175643.59101823,48636634.02951191,36800314.108492285,36748976.831957586,37534890.34668954,42724657.2895642
P07,29388380.22288095,42178972.586766966,29064947.140726358,25158903.34876085,27081959.026054345,24484500.3331841,38643643.4601064,30270897.33586262,22144129.05519931,33475313.335958723,30819281.167452835,31904126.259793207,22108811.378113262,27306508.824647382,42328853.2590946,35723914.12019096,37132210.51267261,40093492.282772705,44977047.28904036,27091051.450039074,41702186.80277626,30344429.904888615,42812485.514627956,68766605.56544963,67810026.68738598,48534854.801137686,29792170.053339157,40205438.02848613,44841207.307127416,26316105.068714455,29099020.942824937,17655038.91538515,39452851.7189378,22444999.590873424,51839141.4423662,40697698.73030765,33213935.8083242,36836640.132937044,21577266.88186996,29850174.406678017,35054531.44104483,27289571.839994706,31558724.613393076,33517696.477733497,30061575.306894295,35520058.68545737,29602083.708833314,29514257.41002989,30863355.23810359,26147383.455120493
P08,90335085.25172606,102105303.23719326,81289971.72473483,78061195.21776901,80201895.36641334,110147995.20550328,125586595.4808149,95538867.09726036,161769548.854783,93923477.31156605,67618653.96928588,133917260.76227114,117500160.34196097,83466462.32236436,91245811.98290412,70321043.03842749,74595326.52027202,84754557.97302912,59300638.87968902,64874143.92698683,115508141.85482594,66078993.222839765,70691322.44572628,74431133.34445994,101595041.14719783,118103814.89378981,92016316.16559409,96040693.25363928,103200082.73785874,78780622.40470985,101002559.35227463,73318195.35495663,98464400.42420328,96662587.35903656,116329215.39675723,72431538.43320018,111212009.17803459,73994013.57114872,122421964.06599545,100824818.36440371,90652298.45007758,73671151.67831488,132479605.41617882,151991229.41202188,91385306.83216491,108844362.1729339,114320340.53447299,68742409.65232581,75704637.98800911,98693390.17911954
P09,39727646.7023586,30035825.74203283,26879500.26038715,38075722.157857604,33224254.37626391,41578149.62044701,28917751.203244872,32199313.669521328,44315878.34264569,29834489.2527579,39371839.94645066,30285599.80374916,52814708.8416536,32095784.455877915,34932792.325587094,31053534.35492085,30357579.43915368,54818446.39104223,28502405.900365613,49879858.69776499,28017376.18198498,51145398.62752765,31749629.608977888,29279783.102340747,30464606.88944918,35492874.82379933,35563820.68241075,32621304.118990995,32830884.764740363,40575885.12245105,37654612.98518096,29400065.376987062,22215618.711546272,28275596.788781203,35204153.52248755,47355975.160938814,31747271.15391431,34901996.84641075,42520658.01750317,25318293.051007245,32123636.288929038,30061084.963777643,18721828.749889646,23028153.17150961,32795676.014335454,16419537.448572464,37351983.976257846,30656549.200651687,34902589.40153376,26847311.07121801
P10,46835747.85487414,54072506.53613925,57306480.74654347,39839191.022968,28594093.295408413,26337266.52310118,35671689.55120826,42861443.93789148,50988761.19546236,59952854.37249054,44731138.92539806,30562191.283548184,54519551.4718773,42178633.81811838,48021859.07649146,40395422.99106065,47770035.25234419,29950082.335690666,39742409.085585445,35759783.15729714,23911230.853061855,39044378.43557429,35090448.98898644,40839546.2927706,50309214.90660392,28739318.804852534,41316970.88253306,37692984.63576466,41159442.73403345,26996439.210918624,39130307.13787478,27229815.780834544,22393311.02949516,55778475.98570173,45959270.7668282,37332633.09283722,41755772.12489192,38658720.34646614,52351296.32716794,33092684.012505814,22625209.704665937,32570739.612569097,40473807.803809494,46269942.6919285,40396185.363542095,36650226.76635816,28550060.428226463,28470441.990257155,49855071.61326361,28676989.502318293
