,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,171455.6491766178,96726.81679998065,119488.8260100908,95243.04807548776,114606.22182837814,95171.97047297785,101721.58142616974,98792.45708450396,109503.00417920722,91459.47681873967,103190.81533074682,100926.1408444435,79102.93281620956,103091.85727492851,118087.62075506058,112998.78111760748,89843.1639865362,103937.93544884755,95907.09932543612,126992.12778492786,110441.8690492778,103621.99634739032,97370.32934435325,141991.89165352506,117946.50750961207,103137.02306045995,100501.20913292497,101867.71448362501,80851.13604622762,123256.47515730218,97318.43489644237,86806.98099333343,87099.14696618757,136677.90970942643,77032.7141398642,113306.6260662042,102143.90590626992,84108.06574278178,97581.05552562614,100704.98970752674,114956.62702967215,103325.25598240485,91208.521583091,107493.3285907559,90706.6454490361,136015.7751042468,77892.8932705064,102127.47982236346,117125.06407170802,112636.28408223615
P02,106983.06245515574,75662.65768342723,89420.73945657989,78479.81740391055,120128.46765678558,137557.92259794602,128954.32264600272,65880.30119253427,145557.11743809216,144777.0602832918,100184.96858719616,81130.50579871098,70246.47756127999,76276.2892767105,73062.83007329599,95200.55173453153,110242.97426304061,91548.47407053073,103118.43792002264,123464.42681311435,89286.24900140564,135600.40762920407,71588.25802489948,99070.64554354611,75807.22116671056,84062.4348877148,105837.55165177789,81387.94901316722,124826.59815050667,127942.42370991927,133803.31316458562,168274.03894537155,152896.71045018386,115431.62128938484,183157.56151827896,137316.27595408488,175222.14094470808,104237.06234826428,129720.40675956903,66609.7515205325,92252.5143335905,87094.63606689282,135872.08924488802,113659.41779454821,101462.10533093465,108387.25964680551,100154.38979554421,105309.13198188983,107193.80989770987,96286.89316074426
P03,198373.71543890165,207905.53289558907,162938.31508343693,176313.02775085947,224275.49477072209,168143.8957726269,267367.51787598146,192229.1254057515,267216.5231470133,255860.05658713594,264758.79553373426,226933.11399292655,238186.87351711106,187530.24566568315,172274.32050038467,124928.45415621155,207023.36135826935,197246.64939303006,192797.1278347454,134238.64037607974,164818.95803406808,307808.91180155124,194722.80086926866,200158.58952730882,174826.35780075833,163960.01850701784,131814.47502901245,111764.4677938595,144361.5092763005,166529.45152378065,130371.60039319233,169237.15216859628,233347.6917151946,187525.4010116876,105428.33773421677,198133.3565215778,142462.8796935136,152924.9186950872,156626.82399741086,138307.68371770435,191472.6286953546,215497.2422021557,156974.59756606066,162211.01374136168,197875.27294456723,127545.07057895856,153558.94651204956,160984.27011007414,126004.05261082608,125380.99277176688
P04,82040.32218207349,70523.47380125405,88393.33154862237,82307.57163294384,77359.63863380089,70993.2565015735,91265.47705085366,80284.8585642633,101128.4845807057,94341.61223342741,73530.67243235101,54129.720074916506,61445.87499321999,52843.28098276166,61613.962245102055,130471.41535068145,82751.5428725939,112933.5576901916,72232.78026281297,66401.14842829856,38953.30891412042,108176.19858813538,113469.76515553182,73944.40820414382,59828.77091490348,65495.73559325049,106919.42186334664,73850.75966389632,48098.31041549082,103815.94355726476,145485.0136708151,86450.27981154803,96947.09392822439,65450.94843802724,84089.92431534904,73982.63792568054,75899.40825410839,70402.52957372669,80446.17073583235,76412.64294161108,47089.17181964891,89138.83120129918,71093.58714126855,76118.02986590829,98461.0039782271,97787.15255096198,75240.76676676098,52526.924944356324,64950.466481446856,114583.43326347967
P05,54028.06908068443,59695.132709187026,51019.655593958436,61263.41127768259,46737.76421945957,51010.61915548009,36919.53520375288,70887.83998112497,59462.16506839964,36479.16525337314,49710.997703468085,44621.55636128497,50109.70025384064,52361.900542898205,49590.29180355541,43584.35612609292,63596.596855960954,61494.149935846275,38223.30318911362,56458.06154150319,97241.61884847864,58303.953821886666,47866.47558028478,74920.12631863986,47616.95511574501,59412.710615553784,81477.09034122438,51959.32310259641,50844.508762872225,61943.703805546225,48480.00699633916,76396.77346402503,55809.51553498636,47922.77312324514,51622.64323154373,38401.276437411725,78309.4186252377,40788.099201296,48050.559657224185,70833.333335249,51180.68669907308,55719.547044897285,68400.66874721278,69657.3600214631,90247.15785079991,50366.24426380851,66159.54946965436,64063.51090166299,67397.99942753195,75128.9748661229
P06,111856.28002045443,154814.77861030432,111816.50835136136,83360.90797084836,111206.64348173076,96875.89782306307,107341.1937981678,113431.96618669033,94397.08940386745,93811.44586459597,75782.34539274922,154093.2629332757,116752.62570326334,130497.46169899605,97910.90144447131,85451.91751151341,123551.20801872962,86674.17799929145,120749.7963516537,116965.64419532081,119548.77092120574,164605.32423312127,82539.33265714784,112208.13956275594,111905.76927306982,87788.05818414522,115653.54044108184,91478.95906910447,106886.63877137574,76307.7456795578,110979.1827511438,75497.22922374669,146806.22035127695,97343.77216402668,105405.22128958361,107872.89246920747,105811.95531169378,135362.3130309777,82544.88507339114,93721.69866489952,96404.08415713422,102225.53030932008,113247.00372663807,86806.50690302641,98223.08958094096,118909.450976043,89967.58297604986,89841.5061133766,91770.70623720463,104406.42301506986
P07,71853.03663039727,103057.7275612135,70785.10377249731,61456.99436073264,66198.60426804256,59725.83865646422,94454.84400392268,74003.15828176665,54028.32096595609,81840.89646160054,75296.74196882265,77992.22539707295,53896.61218907225,66763.4024930236,103491.8695316042,87335.34261136861,90770.35242349916,97817.4320186832,109967.95069195662,66189.73655522244,101941.90181639633,74187.0902171105,104366.44661759857,166920.6337098721,165543.46382339383,118483.2972952562,72318.75419757368,98076.8085406634,109527.82372018258,64325.59880257381,71135.42519277002,43149.47260846631,96451.11540333932,54846.922214955695,126712.48463829019,99489.3473334057,81204.61696895429,90023.705435586,52754.97124434034,72973.85801315583,85687.67040805078,66481.62076245101,77092.36063433683,81751.4372900717,73454.83793605886,86836.77717658764,72287.72187810772,72094.53140506765,75445.8952093734,63852.246551039585
P08,220056.05624559007,249645.79301699254,198752.83088447712,190654.29984773937,195879.1745502502,269302.29189613735,307057.49142621696,233535.7287820974,395292.80392954365,229635.76887183092,165181.98694535007,326545.7231386975,287113.99848661944,204042.80116501517,223045.3022849631,171756.5507391629,182159.6202548715,206964.48442693934,144912.11382021647,158616.26706734186,282342.7820535757,161422.55275635468,172830.4649880434,181973.06667203511,248368.03293329792,288761.65451797994,224978.1294664613,234789.49347850838,252180.5094811004,192509.55990570143,246949.24319367376,179243.58668028747,240653.03531776133,236176.73978007294,284411.8823929699,177071.3144514532,271911.95719727693,180859.06253129226,299315.9404509387,246508.4755742579,221630.76041536452,180051.17339469417,323144.1578003515,371520.96990563883,223323.06019389612,265205.0825684549,279056.08882518264,168061.42050114245,185081.49214935856,237241.1481615071
P09,95915.79667059751,73275.65003485414,65717.58153720514,93023.98088753353,80963.9344309557,101187.0694170945,70688.08901776902,78517.83366928367,107768.63321402443,72672.59310981559,96137.29127863534,74043.0415029648,129084.53470913974,78472.49869415809,85408.04522533967,75917.88814729916,74151.54362912547,134029.3531584884,69619.1907383075,121955.30891327237,68490.82861271889,125047.15150935423,77517.84336638915,71541.78384211047,74257.02838954589,86399.30945667226,86863.19337978317,79758.28645944105,80252.35975912497,99169.71650282988,91998.09127417316,71829.22142738804,54315.14222804152,69025.27615311726,85896.4458565523,115750.43288795858,77621.67488976415,85334.92064596298,103944.96366681464,61887.43891692553,78535.89386474274,73478.83903129734,45683.00685569473,56303.549659667086,80122.9383268253,40087.58845588771,91262.03581713092,74916.44377395837,85312.45513700116,64170.9075400379
P10,114370.52798874243,131974.51710803705,139877.5528544013,97383.58455202366,69911.24200024083,64390.93976814496,87177.75935909744,104698.73573278969,124666.67936368567,146224.62098162973,109312.63300289519,74697.76800672588,133283.27266077258,103098.40022007059,117392.49639452338,98756.82270808684,116744.6282601285,73050.36867816122,97164.24665417947,87431.724752063,58461.61290249671,95228.42373523765,85626.17424410756,99813.87669482146,123005.41435583198,70264.45685928014,101016.41055870191,92130.39213621645,100631.42734668385,65633.77865577173,95671.76032346647,66198.2049525087,54715.18931870212,136377.11979778073,112333.59089687768,91163.71359445257,101984.88037556894,94480.89821491545,127842.19574070207,80812.13939232507,55305.509895816795,79630.84834340391,98951.60928601018,113065.57842660537,98764.3177322259,89523.34564320328,69798.11253728483,69485.5247085802,121492.45529786655,68525.27370967444
