,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,407,407,408,405,408,407,408,406,407,405,408,408,407,407,408,406,407,408,407,407,404,408,407,408,407,408,406,407,408,408,408,408,406,407,407,407,408,408,408,408,406,406,408,408,407,408,406,407,408,408
P02,408,406,406,408,404,408,407,402,408,408,406,407,408,403,406,408,407,408,405,405,407,407,406,408,406,407,407,408,408,407,408,406,408,407,408,408,407,408,408,407,408,406,408,408,407,407,408,408,407,408
P03,407,406,408,406,406,408,408,408,408,408,408,408,406,408,407,408,408,408,408,406,406,406,406,408,407,406,408,408,406,406,408,406,407,407,408,408,408,408,407,408,408,407,408,405,405,406,407,408,407,407
P04,408,408,408,408,408,408,406,407,408,406,407,408,408,406,407,408,407,407,407,408,408,408,408,407,407,408,406,408,407,407,406,407,408,406,408,407,408,408,408,407,405,407,406,408,406,407,406,407,407,408
P05,401,406,406,406,405,404,406,406,405,402,406,405,407,407,405,406,408,408,407,408,408,408,404,408,405,407,406,407,406,403,407,408,408,406,407,405,408,404,405,404,408,408,406,408,407,408,408,408,407,408
P06,406,407,407,405,402,407,407,407,408,404,408,408,406,406,407,405,407,406,405,407,407,407,407,407,406,408,408,407,406,407,407,405,406,407,408,408,405,407,407,407,406,408,405,406,403,406,408,404,408,408
P07,406,406,407,408,407,408,407,408,408,408,407,406,407,407,408,407,408,408,406,408,406,407,408,408,406,408,406,406,407,408,407,407,408,406,408,405,408,408,407,408,408,408,407,407,406,406,408,407,407,408
P08,407,408,407,408,407,408,408,407,408,408,408,407,408,408,408,408,407,407,408,407,408,405,408,408,407,408,408,406,408,408,408,407,407,408,408,407,408,408,407,406,407,408,406,408,408,407,408,408,407,407
P09,407,408,407,408,408,406,405,408,405,408,407,408,406,404,405,407,407,408,407,405,405,407,408,407,406,406,407,406,407,407,405,407,408,408,407,407,408,408,407,407,408,408,408,405,407,406,405,408,408,406
P10,405,408,406,408,407,408,406,407,406,406,406,406,407,406,407,408,407,406,408,406,408,407,406,404,406,407,406,404,406,408,407,407,406,405,406,408,408,404,408,408,405,406,407,405,406,408,408,405,407,408
P11,405,408,406,408,408,407,403,407,408,406,407,403,408,407,406,407,406,407,407,404,407,407,407,406,406,407,406,407,404,403,405,407,401,408,407,406,408,408,408,407,408,406,406,408,404,408,407,401,398,407
P12,408,407,407,407,408,407,408,406,408,408,407,407,407,407,408,405,407,408,408,408,404,408,408,408,407,408,407,407,407,407,407,406,408,407,408,408,407,408,407,407,408,406,408,407,406,408,407,408,406,407
P13,407,404,405,405,405,408,408,405,405,407,408,406,406,406,408,403,407,407,408,408,407,408,407,408,405,407,407,405,407,407,407,407,407,406,404,404,408,407,405,408,403,407,406,407,407,407,406,406,407,404
P14,407,405,406,405,408,404,404,405,407,406,405,406,406,407,406,408,408,407,407,408,406,405,407,405,406,407,407,407,407,406,405,408,405,406,406,407,406,405,407,406,407,405,405,407,407,404,406,405,406,407
P15,405,408,408,404,405,408,408,407,405,407,408,408,406,407,407,408,407,407,408,407,407,407,408,406,407,408,408,408,408,406,406,405,405,407,408,408,408,408,408,408,407,408,408,407,406,408,407,408,408,406
P16,407,408,407,408,406,408,408,407,407,405,408,406,407,406,407,407,408,407,408,408,407,405,403,406,408,408,408,406,408,408,406,408,407,408,408,408,408,406,407,406,406,405,406,407,408,405,408,407,407,408
P17,408,408,408,408,405,408,407,408,406,407,407,406,408,407,407,408,408,408,407,405,407,408,405,407,408,407,408,407,407,408,408,408,407,407,408,408,408,408,408,407,408,408,406,408,408,408,408,407,407,408
P18,408,408,406,408,407,408,408,406,408,406,407,405,408,408,407,407,408,408,407,408,408,408,408,408,407,407,407,407,407,408,407,407,407,407,407,405,406,407,407,407,407,408,405,407,406,408,407,408,407,408
P19,405,407,406,406,407,407,406,406,407,408,408,407,408,408,406,408,406,408,408,408,408,408,408,407,408,407,406,408,408,406,408,407,408,407,407,406,407,406,408,407,406,407,408,406,407,407,407,407,408,408
P20,405,408,405,408,407,408,407,407,406,404,408,406,403,407,405,407,407,403,404,399,404,404,400,405,408,408,407,408,408,407,406,407,408,408,407,408,408,408,408,408,407,408,407,406,405,407,404,408,407,406
