,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,33732.200399595284,29215.708227171835,32644.25099446247,31202.44587803603,29923.758386813453,27669.238454339746,32764.087157852224,32687.82527031412,34488.05887870648,30480.37084128301,32853.38520746901,32107.094987942946,26163.199984038874,28262.19807016276,32802.66661388147,32156.723721332244,29132.708111944747,30750.49072002484,30212.032163704647,34998.29748361786,31466.540429470413,28109.12822962311,29920.43489604861,33016.38813149304,32311.257635752343,33300.04661284217,30035.34921213787,32447.47287362857,29590.117479075096,32417.969265444783,28008.776223726938,30210.368798390835,26840.220548868296,33363.6285048447,25988.002437879386,31209.304465113342,31569.0249638131,26334.68491539121,31615.59629839522,30015.3306150595,33380.405338335666,31384.116378021434,31891.71778640404,31304.060303507926,30423.321991765715,35295.857870492735,28264.91346578822,36944.286275267776,35644.696570183114,32974.58232609264
P02,27168.04762301134,31507.269108695247,29637.14871603975,27543.20227084839,32677.792008509947,26389.02048355008,26396.01218136658,22426.050695748956,29231.204972670268,36004.27056882908,21360.606148083654,29905.660851900822,26340.175394115206,23781.313009901976,30652.788822992115,29287.838248491866,25532.781072376565,26847.43048732394,31422.93231855151,25070.00064992682,29829.515029310718,27525.264752458104,27465.168122304207,30333.30163916797,25985.570599712715,31222.561770158158,28298.271729622833,30748.254415336323,36154.00244830754,36672.201480606775,36158.38646522813,24075.1527049075,40696.110974214585,37537.29416001201,36032.41786661627,32774.9673507294,32516.151610544628,33379.18616907373,30677.20086367672,31915.72807497818,33778.357708323354,24587.372956603176,34902.2301854187,29973.719912756387,31070.582984457687,32396.41357344393,28673.49435217663,33120.71791479948,33603.811706200126,31078.858832794012
P03,35406.06205132606,38304.541220522355,35892.73198651534,38008.48864645215,37385.330241507385,36479.265682994825,41068.698194207755,37548.973154064784,36569.50642335301,33290.10589213557,43088.996150958934,35179.87478516288,40390.49718588953,37519.9190770577,34530.539274070616,30313.472276023032,29277.080891257872,37058.624618760994,40890.70222672653,27463.965374954165,34529.099419497725,42146.51698063266,35131.23206760817,36997.53045674723,37784.56935111936,34490.90117848203,33053.08715377204,28865.53500106829,33333.07339853,29941.176047231616,32018.044348992637,33127.0378132496,36233.95478703269,35647.773417461896,32616.464460256928,35038.7691572061,36137.07293024571,37805.837916990844,40706.86222034528,35500.80083448784,40987.236295734125,29695.426860347605,35516.79427564605,34657.81030614498,35698.77440027087,31576.08667220635,36997.719448712,35662.698100702815,31395.541484767855,24026.28604285308
P04,26672.84474109041,21938.681137811538,23929.261275001503,22987.34266376689,22941.141294721096,24378.352414752095,23231.51683897209,25947.409784515137,26250.146895285558,24927.03096215213,23780.52037957291,24734.781638885048,22482.27870609517,19543.528125303696,21656.677926883538,25341.10819401266,24614.483914988814,24223.862957512094,21464.304012526907,24829.655023979285,22452.27306711654,23594.009578366327,28134.64588908482,23914.59556585249,23733.186621781926,22843.249494645745,26237.35114152165,28135.587985502745,21766.38320290442,23234.53532499168,25488.74277464961,20221.31015204562,23698.05699361821,21266.62764999444,24926.433154310966,22065.44764867826,21105.820232716498,22583.053406663454,21289.959778304896,22642.354496510245,22057.99217072573,22994.072385484564,24831.44315366931,23288.59771687014,27898.547078083568,24110.61646183026,20407.994884219974,21450.286116102616,23809.104121322904,26763.94896227787
P05,21175.43652157897,24980.351074938913,22527.47588862218,24966.056770456456,24334.60405150405,21692.272967446457,18213.044675875266,24974.715443684465,24465.11135027055,20874.445450876672,24621.850658228173,24694.903184978743,22562.798577039153,24494.148503717137,22829.24156915184,23943.601879647595,25475.535437161958,25964.193573348533,23569.765491037295,24693.10880801563,29713.355533034275,26028.561231575295,22723.244708858925,27395.152048684657,21829.495893950756,23930.867959749638,31588.78282896149,22691.37434405542,28445.402932139274,22945.110708319582,25952.38129969966,28722.944556751398,25797.982497908248,24571.85979658255,24424.320194666107,17388.20873357325,28644.74060221435,21445.32448603973,22952.782819227297,31589.368671665303,24540.847863734198,24350.920215042916,23015.57546350719,26324.838665455107,28870.999004821733,23926.055897880156,27622.0249530153,28018.20616072439,25408.250084928015,28336.59905163419
P06,32992.6584033907,34508.8065307338,36711.649635863076,31874.884939779346,33782.11691022156,36008.187183391,28971.383092144213,34227.36206490391,34772.865194301216,33797.30361984152,27924.8679512804,37774.72563201131,33300.74867624343,30387.011010303962,33955.734313355395,29515.743834180987,35182.08943808971,29464.246007925787,29466.25004431018,36642.14480852224,36543.343460140924,32605.940821616256,32158.665964406897,33349.173888582554,30235.32922437682,29208.896449165466,36583.9451767064,33377.42846323349,33100.85082313727,24623.536533403818,34874.818849445575,25372.443308662478,36825.0119663064,31714.997472243762,32129.592055649104,31838.79523754856,34260.037762464766,32985.242058789445,30485.875391438414,32174.48461227699,25701.412633505086,31600.87433027547,35900.34713702793,25972.333205339844,29507.3775525743,33067.46071501803,26470.685255022236,30677.57891085685,29994.620011752475,29054.51978772437
P07,20333.035923068866,23747.138778160428,19646.90891499941,22421.71612096949,19101.175293313347,20882.959276901758,24721.734877335588,22190.91702518576,19219.340095999185,20218.497542985686,21723.634823555105,19678.08456996771,17179.80256968727,20609.723213847836,23450.439176182168,23948.036283288144,23148.903912888294,23230.829181350717,23731.15490436557,19285.148467720057,24261.134377418064,20101.695347092977,24119.087035315802,33334.43516085325,30349.208687703696,27354.185338547588,22946.63266991701,24687.693523585753,27055.605285998045,23731.342529899324,21113.315994433586,14885.138786035961,21374.980248480162,19616.525789340973,23839.095816567824,22363.212816892847,21740.2708956659,25201.754252180308,20753.203344856258,23533.42834138696,26321.90832894878,20253.687757657695,22616.084250767228,23890.47399674425,21178.120419776802,23450.9887466187,18649.232888111947,21528.878963416006,21262.72692046938,18900.086320367398
P08,44581.52170905868,49259.07276096684,45804.29040677444,40915.21288799638,46366.22994770865,48962.22901611184,48048.61318840925,47946.60567071922,54683.47547180607,47789.1438834953,40861.88702590487,44591.06698902817,49983.54352872589,50306.37724543655,45540.993865028155,42369.067998057704,39953.27380699217,44003.4686858803,34177.94006994938,33862.42241571782,45410.757859245154,42476.41015265177,43515.5032864674,44318.81069406806,50049.96013353574,45331.21590348579,47402.54040683876,42326.8522574677,45666.75183099815,45980.46966707252,43206.99812896444,45090.87463678806,51749.741986567795,46218.11720599797,51973.07378202281,41866.78187769766,44712.29335081637,41608.633608649965,49355.10890508839,43874.96601841651,42901.75178781546,43130.421728948,59500.89588038493,51344.43804483478,42669.775861882576,46884.576663477026,45335.22571700254,41661.565173753814,41992.4983314276,42886.40604671516
P09,23677.112441449106,25637.146515985198,21819.78124044335,25572.06113188985,24579.937634954873,29195.905484845243,24996.157842757457,27734.16010128227,27084.73999435691,23759.322060911683,29019.960588892416,22504.882325314138,28895.690383183333,26187.797562975757,22733.969458425563,26077.925209713732,23046.39278540411,29407.50373978809,23501.265355702766,28023.016189818554,25838.34882882725,30159.311782420384,23019.181334013578,22611.393389966477,23893.83194571412,23154.984723272726,23596.88103479429,26348.89725680701,23376.1349256198,24341.763237136336,25511.950585476763,24517.473726647073,24803.867467761193,23107.72789558953,24279.00412936457,25470.233274763934,23526.315224509533,28308.67845693787,22962.42663035734,23266.981077094795,25844.590049922834,26043.71041854148,20298.359664923475,23866.407541675784,26510.382703727333,19143.925738164726,23689.784466816203,26237.237893282723,24813.730789210855,18885.907775502073
P10,28045.314497717372,26495.99646728167,25634.547353845097,25448.167898477488,24834.49129699119,22961.05748380752,23424.16039555765,30374.982110054763,25315.382451010355,29792.296667474555,25866.291956012607,24028.58559284396,24706.12601182826,22435.47204394333,28259.239505525096,24426.87435306675,25069.190611689763,20250.13750147996,25031.189569062954,25548.068755071115,22510.71326069504,22718.870907075994,22483.915682452072,24172.538652522857,24011.685698529625,21388.374036402653,25257.05263679097,24524.25885099533,25605.225010530667,22233.67300338668,23862.548111832897,21278.391678245796,19694.3043541838,24001.511920992747,23032.570235034,21522.511343390055,23522.847869484896,21487.070058176338,24907.96631679491,22636.75981653715,20478.805495206943,22848.490849586367,25437.103407444785,20764.863440933106,22960.813276207908,26519.708358716427,21754.694276402257,21630.091172495788,29072.87139218494,19840.04822137238
