,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,555.2125571014594,313.0340188986512,348.9112556693128,336.91275105102795,391.6845402102495,372.6879634260379,336.64006186626307,361.3062053674614,388.8916297214695,374.88396197577055,322.73651046165344,375.5853509348625,292.4886718593923,353.03780985823016,447.9074306557225,429.0521167668411,321.9552224346403,407.83505047224827,306.0682744881303,455.6194628891112,375.2772555757962,414.3111371298942,347.97745584337514,372.9817992739555,434.87890823283897,380.64916513037133,330.6325384494303,434.4349133673545,334.10254234994454,440.2748574908236,391.71052079533376,298.82217863333307,322.54027886126784,333.4713141328315,297.43253588506275,374.479879770098,428.14380702828754,360.85133757207245,395.92612702446115,371.59632810993094,376.46927739222974,309.3250220092417,338.7955087302778,342.1939122867942,373.31708473606454,462.2109555776901,293.5405121369821,370.92905114281757,442.4021425409794,371.16339766265816
P02,289.68904527676483,333.8199112133344,295.71224443197514,326.02663128836946,343.96093447113725,267.363754010003,302.3768044937017,244.64274121446354,327.97372395620954,377.5365111400307,163.5027484646177,250.15017276715722,272.5546139196822,244.35517048821401,236.99414431468495,303.55672787102645,262.4657751259223,225.86053375184727,259.94193697347504,250.78219291953482,296.2607512870642,301.68843245208615,222.77947921068386,346.4969320075331,275.71752907439907,314.15544368393,294.1695360263615,328.6978221066934,384.1454404398579,372.0614027624668,456.5069963790504,242.3479514049231,394.5076619938551,455.35551433363185,392.92311148551744,427.4698157670865,314.63895993616126,336.3938786095172,343.6878070839532,287.24367308152137,357.5062696936361,294.38058884129043,382.4383989994558,394.1254497344409,393.80673149858535,304.18728073710304,311.2755719372533,319.8156258810974,372.0071408230088,337.39125125717584
P03,526.3109392342574,522.1299715698584,460.2238732126598,472.6165807177565,412.54734136182475,506.9172233757367,537.240567020162,514.5478237176783,557.7539253781565,433.67690332683566,556.1218772683186,461.96534541042325,446.3937584305442,542.7238226446277,457.23373967259306,420.66305888245677,483.75959184038277,511.30796055600143,492.1216616174099,291.566492951335,481.23979407360196,678.7338175367252,495.1555749202324,529.7010914337623,397.4430937243,466.2942263646754,344.79066255517637,368.2075855777283,432.29139854614755,356.07253036662235,383.1438809451363,430.22610085640736,359.92124002452096,598.2938857526863,386.40740321329247,462.91391136335375,471.9757026696687,485.8921028807248,527.8468778196223,466.6071659005722,533.0910430172341,316.971532022485,402.713644608469,511.02116189245885,470.3032889737149,388.50486843107717,443.292483385297,451.0170600945957,408.47285200312575,323.5318567686473
P04,367.38353266753,359.9522084226468,326.501227346677,335.8790273806519,307.09658380919325,351.14932556645397,360.0608123366479,346.44240405210167,405.85681167264994,381.9572573080775,336.5078441921004,313.365842995605,330.45297103073085,244.54272453171512,269.5699844975304,338.59127894785263,436.2747342087886,461.7394108072532,402.7906902404167,336.875213319778,263.54517581278463,446.65209214472145,372.2287647356071,355.3750543743338,282.4250222307126,320.7177805321638,392.27067222380276,313.96617106290626,287.86343892535785,400.56437389903715,414.5774503808178,364.3601473709599,364.3468208826896,329.12824949081266,363.27263361387236,346.71638014145833,357.4673207671699,220.85329085964048,373.59931730119894,302.1989609743497,267.30920654477586,356.3826863838617,365.11125500551253,335.88013354898203,395.52852181116674,368.93310367376404,399.2373189219405,250.56235330606506,363.21941282770047,381.67428309407825
P05,203.02094722914438,272.7469836378141,224.16123120866763,219.71889083746885,240.27748174027317,152.38402648661622,199.9025716462891,314.6472457004268,234.09837112305314,138.13714339612173,173.60927752516412,220.6163670185917,194.12711872081184,283.18468223519113,187.87486946836617,249.57249041120696,256.4364258257619,243.45348751652708,213.2625069665578,280.0266672739687,310.79832675141535,222.55881822306986,200.62345630474985,232.28955779060578,220.14083720613158,212.33403430079005,375.01728752838363,236.02182526723283,221.38871560046132,180.56787516084495,233.71793206896558,278.67289183769816,225.2620396226041,225.53281595289064,249.72815787627215,230.08233739102428,259.6470332481754,182.9594114284144,225.98736514525564,261.28035180829266,247.85313167759912,250.24800207634854,255.42013722933694,201.64073144673856,258.46439946702844,239.36931498246463,315.53855092628714,294.3413669245456,228.75495225297396,272.09623492611473
P06,247.86437350019372,246.59588577154716,236.24051964281875,281.58040177626435,256.9588757462228,284.339452770365,269.36427581677947,295.05059712742224,301.2006169664245,260.05064671873276,187.61367210738456,368.34944964652885,285.87606194162356,244.0778796183776,255.38564120960154,300.4836305723006,342.4206432281653,242.86855808726705,252.16096709153865,301.65829546118067,262.98257339519694,282.544016032611,278.7433907684235,259.45068642806154,273.8702071208315,246.34640218840013,292.9429154359677,257.45593184106906,312.0874164640731,288.82020950523645,313.103542020967,201.3684085822618,318.60174798752485,270.12974754390564,311.7146976991514,281.87038212283625,292.33434373871347,315.94410526461814,272.8660228605404,267.1600842084385,285.042887042411,246.14662731864462,288.43978073883784,244.29010709130887,255.8515538512894,270.9523771231387,245.89167640166627,282.7345550754334,216.97029211301444,278.90178296579086
P07,302.1406726822705,353.27320894250704,248.22812978929926,298.6483017571027,372.96021749477563,331.60899364274036,394.0275444464672,389.79267395300695,265.0148965452439,290.71898880044705,352.5531327163464,316.2791016620516,339.69348879185213,339.895485167588,247.16648778370453,373.83607318805014,407.2858215648813,357.3298915259072,348.2377182812654,351.8046545334669,357.18991557729646,305.2539665742748,420.2304600991964,458.0770653888201,489.87407483110167,398.3921531705694,283.1195661191457,389.2768059743911,370.9609745321273,279.1451945202214,343.4057422067219,258.1983907317583,287.3266585511293,320.2665282209548,394.3350241591386,276.26952068783135,377.2544426192359,377.50298160397176,268.9300105385495,372.1594107660634,294.60795107715484,311.10970424745165,314.1201425043861,343.8484341090339,373.5589594594158,372.18853186955545,332.13502323016314,326.79190000919397,397.17847527737086,242.90540702486132
P08,515.3422505502394,729.6032195168914,508.1503888372424,429.6147332927037,441.03122863714475,584.7224000579274,517.5778391461573,503.7408511236159,639.6246478261403,590.8597278994375,485.53348440444927,467.6806784505226,457.5693932180908,553.9709825465561,581.7285251681146,542.7663980735158,413.25592130478384,612.8744028720748,402.45459189938754,419.67660148283915,570.6514434953667,451.28833609687433,548.4953275625259,544.1158156829038,645.3984893561812,615.6070089244288,560.2086135222069,445.38011901967184,508.9366425634713,462.1297241282537,462.03115032586277,462.0258927415705,581.0147620651667,571.9263238281917,516.4395519949848,415.3594043427296,595.1903982292812,556.2388841422883,550.8332601424722,568.2252955497079,446.12236093779273,473.33514320562244,663.555224641724,789.035663648657,538.2816537913425,612.9493412990926,565.4228230962117,479.62278947876166,435.79306521971756,514.7674660060748
P09,316.40938077788803,265.29713404077194,237.06912491070963,291.321615810057,317.0518777482362,349.90532157717934,302.0330535890225,283.3096948095847,334.9038589638541,244.06026752095613,368.9245593768121,229.1169679098877,345.3808059695628,297.7105764809434,338.7493855362384,305.6702334757588,285.83530254109405,303.53868058015007,209.5127962689271,351.54071109760537,286.793982241109,335.5487275078196,295.3984115166945,328.7952336482022,260.34541339037855,354.39906489056887,235.82096186241324,278.22769427062565,393.3552102321943,400.5763534106159,329.1448556506115,281.5253142374413,284.3505598500331,260.25761869656066,322.05654510496663,372.1931395242882,304.34490997291135,299.82525576088824,277.28618793948715,287.6710812806134,287.0367590221558,335.1657735072514,230.5228681425039,286.188355302372,341.0570858763456,204.5270709772912,249.32103737444783,309.10580589636095,295.4606904443083,269.5099622437595
P10,332.17315695904654,225.68663806907773,309.3192600755384,323.37755503936955,258.82563659691016,268.911656737581,362.2862784995454,332.419294451161,284.9759039882207,303.6268518355987,252.78152848018198,361.21422065514236,342.77243427830075,175.39596864256055,326.6922870920178,253.72918362941164,351.7345795302907,235.38739341993676,372.0318904690902,353.96802453260494,304.15751662941295,351.9345694211131,307.4887361343634,219.2702041722766,230.4579807973811,240.65763218353635,301.96882164310284,287.5634055240967,274.157342563411,222.53495882202594,299.9556263750147,301.6430101997192,256.06031258440817,307.98447568279266,200.26766443802575,343.84395186041394,321.02790708398055,272.464635416806,296.8665571423545,267.99615658403224,281.7631726240369,232.15775723142823,237.66924203719788,179.2466509842609,421.4502541013512,308.90701469744556,228.43688087738502,224.20867608620648,352.9267237083877,289.492956491659
P11,222.48159728411264,299.0415118595526,291.88375155256887,251.76084967208482,204.70408944739154,227.50556402544615,221.0497797686633,259.8222515210022,210.2790730697075,159.33854703690983,132.47367372256605,107.45388656599344,130.59989076079694,201.84626445281575,110.58347176650855,177.50732485649968,195.78248733772097,176.64295478493403,134.95080694394443,137.6966048914653,124.06996005171652,124.6347644294994,169.81265487093648,123.4054684319865,207.81496772683647,165.69648583977147,151.6236367238675,190.35397704189725,190.70823075005495,129.60824161122906,133.44016761506137,149.0131953284675,85.5507622035268,132.6015342911016,65.63809399597199,211.43405327100683,170.82764337677625,223.61375853465907,168.5893617401136,180.53327998490943,158.3343081268498,170.55565409594783,158.7439243102707,226.90461091178884,117.99280431535607,170.71844517023754,162.9484028153135,90.69648665656948,111.91877913917457,79.32973795173646
P12,315.7579719339495,205.29499003233792,294.82250763703234,280.08801549612036,338.57018059845143,266.69887156702333,308.875869674834,274.7616533513257,338.87093872047217,335.59282701288805,287.53327111188213,364.82975253529537,281.3449660074798,348.98737815009093,277.09733777969143,334.9746338395538,331.7655601836701,353.4265712794444,397.23915059576683,396.4174089738369,305.07463769877137,340.01491695455957,337.8549253776683,258.849346863072,294.97690913145607,355.10121408169266,292.4329638951359,253.57878138923616,261.2670909129104,277.83185924000867,272.1528764078185,209.68840834076192,237.31885911293824,173.84044921472335,356.8691553070629,290.56713080383645,242.82722215222822,421.0521529140228,294.03407937536497,378.49949376817386,311.96246094322856,298.61807655136226,339.67342932968654,277.74980029144376,292.2425036762307,269.78653996758635,360.7089946709734,418.60957017655664,359.9065437484259,454.1947703777352
P13,179.85919282385456,86.28717845248252,93.20224700763596,83.49504408613592,156.25012479335984,135.2721465031408,126.73698227976101,178.04136295414435,149.3499251733424,131.0311628966079,148.06041654289973,176.61995530273717,175.348143377921,157.08215508964372,215.7380861840312,163.00055120279657,207.35307349868893,197.39099148728056,283.0287031412811,279.91841871878466,222.18768058153572,305.6791729688331,286.5635921257423,329.54821445837024,321.2150672408268,276.02433189984487,285.7017966401162,235.16905622958922,286.9585312872676,226.6592833654878,182.81636922575814,223.50458738965727,163.27905092537884,169.16630014280213,188.2797409907319,188.38708699442665,107.38386754509403,176.6299199335177,148.1966229354568,223.98777258197083,135.62856752557406,177.27043793581868,193.99889402869414,194.82906274802167,140.9412333405386,206.7141726521691,183.9595008612725,191.72452245860342,200.83211396428112,144.83920600345942
