,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,0.40689334938942734,3.970621779748667,1.8152632992583984,1.852514174181672,0.9787599129705846,0.5272211944920477,0.3166286363876081,0.8946246770754973,0.24759867044740203,0.2314924229407902,4.5279503326253305,1.651194182621757,2.1186016657493756,0.9622133316182788,0.9455419929837312,0.20534632410405518,1.878003170199639,0.20074242729807157,2.841042311829254,0.19487652633127484,0.79582710898657,0.14523249301505903,2.0251225179165164,2.01152079333035,-0.023251752002241943,0.37741346764528894,3.0493781937620463,-0.5425109520770586,0.9655749489905099,0.17914074460260698,0.1243750504704133,1.9018477003482364,0.8494773979306665,3.349419550365983,1.9846837176051526,2.3995026770643424,0.015539304668825249,0.20413895078499467,0.3873454268872836,0.6074557972352919,2.138908362261229,2.679772890019529,1.1520978399611455,1.6570389049228504,0.008048581870971905,0.47760518786004136,1.6779556776441078,0.2558528604935941,0.3482436162436233,0.3622963246988098
P02,2.403851753312191,0.37924985991137916,2.0305653363434635,0.3443129662678861,1.4336347794318547,4.916110387209595,2.318848699013448,3.2855304029882495,1.3659484920433673,2.4305759020270585,4.159001457330813,2.1477503542329774,1.3049923810826973,5.971246704919748,2.6371769778653116,1.1261532574038462,3.255797066101607,3.7953491137854405,2.7511510030326694,2.201776068841374,2.114273375393884,1.726590767954849,2.8475115185197124,2.528603169175593,1.759892533869822,3.32505207179417,7.732120289496562,1.9059931422919973,0.48276918008370684,1.644768641417457,2.443390446448209,4.7011208818543455,0.5082494920981819,0.5369626249644748,1.0505174201420688,3.1713851121028194,5.15041326369723,5.001028196612504,4.9693675694913155,1.0856784836885112,1.420931248260266,1.6626757683535889,0.6489809562781153,3.768979811137032,0.8116590796588548,1.068246964914045,0.48535265568161234,0.8469881541733129,0.5183325672132448,0.992275962611922
P03,1.5310709666909412,0.7542434194616257,4.686214886591129,1.0113413419699704,3.1258696011591187,0.11949909925907987,1.7956796137268025,0.8579307456632406,1.6031922743129945,2.8967579779458665,1.1353937434722603,5.02553898976562,1.1362414793593052,0.9944378123364515,3.317060215485431,0.7446135631062578,0.8337626125032171,1.0477065187502008,0.8917966591529485,3.0282707959836577,1.537095886660735,1.1235479289389696,0.7404721774542642,0.5131919388838964,5.034160791465345,2.137748587297428,3.3393624274619436,1.3168478429647656,1.5756214396407406,2.630378909102049,1.1229214421222888,0.6072481917381154,3.501513139868792,0.5572284636482907,0.9129344247430562,3.8590958145351113,0.7092124474323089,0.8746215568832465,-0.15643901417179684,1.1285185047530737,0.9565331324544895,5.870956624896635,2.506480387266592,0.7763766033534587,2.4112167543664915,1.6017071359880042,2.9201398966533807,0.4599208259534877,1.0542015727269662,2.7773785210164927
P04,0.26166525338196367,-0.3316794578881237,1.08080669878587,0.9893123051879353,0.7523326929943157,-0.2812162823392108,0.3845393611984118,0.4297234086897421,-0.21134473513169505,0.2861518585908227,0.43194596868659074,0.4970912065155382,0.14804041007101576,0.6887969236802802,0.5303878014480419,2.69166281306624,-0.719791171398052,-0.3521423106478192,0.2735126792423883,-0.09917050917472103,-0.0818301566489299,-0.06630696037237716,0.45630259140071994,-0.12792282202345673,0.8837162032688264,1.3073698165138339,0.3147514355498595,0.45184877987026306,0.5176420206067114,-0.2048300589438874,3.135889260790946,0.09111468467429296,0.49148498281272524,0.08935160164056777,0.3773249299489776,0.15486788818009467,0.8189197837604651,1.2233254119165933,1.0671767399535286,0.4885429325987869,0.1580333914385199,0.5988446141004458,-0.07636771741103932,0.07070963398988095,0.5739914334125591,0.7484547327113851,-0.26148366205788687,0.38691164843090187,0.13615925591770583,0.8119138581701812
P05,3.494523497081614,0.7192032610674759,2.197221076176196,4.19200307256528,1.666063349896283,3.901048058376066,1.8039018588196907,0.4478483830705766,4.324563808211177,4.138748570062903,2.601199591690645,0.8221230928579359,1.379657824340871,0.6948832177913005,1.0545977809210783,0.7321951726457114,2.0827134612918243,3.472105221373166,1.1661527976461885,0.37796618426813566,4.722135548642188,1.3454202211273945,2.9915645018400463,1.709886156999115,1.4772705113212634,2.9046911488661706,0.6569638023715854,5.813180838548156,0.4924291333385096,3.0986831364504113,0.8825282103234806,1.1672093937984132,2.369300854892338,2.455594134988086,1.5981196536814721,1.7320362017488273,1.5014359963879338,1.9595632836772818,0.915546513418072,2.8280915577052266,2.5417201530696465,2.0293312242182626,1.8368635432969533,2.2123099500907077,1.806011566781419,1.7414405135577606,1.6512073366611748,2.112148991804365,3.2389220803329577,1.1113825509274085
P06,5.037255509028725,3.013853215970266,2.864744353926617,1.9675574660283113,3.300037429881683,2.189359530022495,6.563317507518139,2.400133099695969,3.203382533101072,3.0727645223638573,4.905728659587663,1.7184131877675535,1.836827702301913,3.8432419033075265,3.4256684446119987,3.012661925744605,2.5156523249441287,3.163612538179148,6.7798560605434375,3.7426994967871874,1.9865213304838782,10.678122605751067,1.3845663316429713,3.442372250588332,2.8024870355966973,3.0952726997848776,2.439124952548986,2.1160486289361673,5.696366952148752,3.366119120364557,2.28628657291695,4.421907909658278,5.171890415819014,2.4106097074691464,2.4082357130829743,2.857385203465113,2.250437584922717,3.912847641672861,2.8405124954910157,3.358234064062029,7.02638629381871,4.770400881265931,2.7193510679590736,3.5280389558287073,2.213741401919023,2.77937776234931,4.3333550097038955,2.7448708631807834,2.70005925860188,4.828902559694527
P07,2.6699649117740485,1.7848852535584303,1.9026842072847288,-0.1880304839935265,0.021598085274735723,-0.49789947031407955,0.39130255033887407,-0.19579114886497173,2.653780878217816,2.859360629186411,0.2598362433649357,1.2365722033364595,0.5163110471757486,-0.26517775626615725,2.4831205210204823,1.7060479182398751,1.1744850640025657,1.2297731043726188,1.5652695174482165,-0.36767075086693124,2.307652631691039,1.6384532319852152,0.760835325998773,0.9542912547940934,0.6518712484752469,1.413930487856832,1.3179419785671094,0.43820062564570517,0.343020083378081,0.8510862945287285,0.3788753890944996,0.24459610112091212,1.534119393509994,0.54516174760067,0.30459902753953605,2.393628454153732,-0.009558603041655012,0.46842588610870894,0.3855185520826958,-0.29372634523603836,0.9538752363846847,0.3492003229187026,0.2697928154732314,1.8066121823671786,-0.29391615136707694,0.27788480993302134,0.5723631697755747,0.19503469691509245,-0.6138319167318982,2.0879211291907174
P08,0.36774418407182274,-0.47249830416765004,0.3722612976479982,3.1955569110780484,2.420047781539923,1.306850700493384,2.2258596621410858,1.026256692090243,3.4100291996817766,0.7238036391205562,0.48354983311492683,12.554687185232762,1.8548253479053685,0.9517727676699494,0.42649642651034814,0.5345987991898964,1.222794241418983,1.3124819232200187,1.7467859109426866,0.620023369302888,1.4386448838318362,0.932260240623692,0.25782698595364195,0.11287087567109166,0.9011579986172675,0.7126350322239192,0.6204288795171307,2.098257015989682,3.3233011935844337,1.5029883254942975,2.436714822930906,0.5335324043021892,2.041819623244354,1.3173478218767052,2.4434009201882203,0.6723222248637755,1.678437650723514,0.09980059665572583,4.959283684566713,2.457518594753367,1.685325583090803,1.4126141046311593,0.07822323980752843,0.6362012006378102,0.6825305772380554,0.9761106514092557,1.6358002116528398,0.6563716918137517,1.3878917253365755,0.6817893116938816
P09,2.385026968137919,0.7362114977003,2.300685629726675,1.0532651750646975,2.505092278224539,0.6475495288910409,1.596616040534963,1.4257146063660668,1.4860446930079165,2.743892215915695,0.8527116735425011,2.4897176005576176,2.2967756249316142,0.842641143216265,2.1326516436567964,0.47865723049015596,1.5696442180913017,8.02546388145697,4.0868291930456335,1.9500173718906693,1.219546615937106,1.3325356937663324,0.7438868737386821,0.5691385797958843,4.5951617247908025,1.2631408567648919,1.4302630201816955,0.5791565824711054,0.26032981416753387,0.6508947182797611,1.494293264449543,1.5781257481093212,0.8266575342733709,1.8305843821877552,2.3633762425000926,0.6724563094126426,1.992141261139584,0.8356571906983694,5.468281029254653,1.1258804942911587,2.689301677916866,0.4911071772619593,2.0850581491122364,0.8542409575536154,0.3940827500369357,3.5061953568978286,1.9543406888684114,1.02480186247843,1.6314673205394437,2.441805080823963
P10,0.8232781674684468,3.2398330445533556,3.3684602644362007,2.3595649511876076,0.6360110292929453,1.6458297019387107,2.6281937332184544,0.8410448173701832,7.188705842331741,3.9169951735915767,1.6505773292815586,-0.08648488639701934,4.144045873422236,3.851900021460617,2.5219619143908396,1.3460154433487803,1.3165254981120462,0.9537789188254227,0.7252973639510181,0.33271622355096,0.01306844555061959,1.8578857775438662,2.0700935935353897,2.6205984985088975,6.64270538473183,1.6873490888248206,2.0218409294035062,1.3413763713012585,4.8356838319584075,0.9129165874446921,2.608449711253808,0.2649077352878253,0.8958855458622406,2.1939904220216757,6.970641697942925,1.2172960456795083,3.038985433859861,1.2693365060064714,1.6920313019818805,2.540958827335209,-0.039974973254098156,1.647333213104127,2.7463426707563956,3.9214854911227475,-0.2081956040724413,1.289258892185817,2.8226685363818955,2.9756502960165747,1.6746662346718448,0.3741619541795411
