,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,1517.5289893338702,1569.98030970254,1366.2704127892955,1164.6479306593944,1191.343887159478,1063.3515366598158,981.4365507978408,1088.1584684994612,958.6269030389764,902.5197225619896,1568.0801040258468,1332.1555396098593,1188.545067688843,1008.984435574284,1374.805352874963,1009.4243431956248,1226.474803437774,1075.0924622701789,1335.938527998192,1065.4724816504895,1100.0103434685789,1063.6490785647943,1203.2688349975665,1402.9480177972257,1015.2342649727792,1007.2806254019616,1378.9860342421491,746.5584540642955,1108.5589702174725,1092.1831310470984,906.2624533957276,1061.14364717593,1057.0931323924951,1670.9012392942368,1094.7581747616823,1413.9964416476892,995.71350959656,945.9875660971963,1045.4619374717104,1131.0954165031635,1455.3856153897832,1447.3687188822655,983.1850182024972,1220.7224051131682,816.5069783867801,1185.0906017129164,1171.163264218737,1044.4616378937571,1123.2277591706606,908.7928285455068
P02,1597.9341138793231,841.4411565015376,1333.1744232053318,913.0571338166808,1438.5316274081115,1777.593069380145,1623.103328373622,1206.1453452110452,1368.891087934025,1834.938613431203,1389.992020518136,1040.8701361197504,1104.6087106142334,1658.3942778757892,1358.0263766994462,1111.5434900048751,1420.5051727401396,1410.53588718802,1650.8443439934629,1199.3478036616089,1126.589214152404,1268.8695455821055,1182.360982830909,1443.8139218021558,1109.6083636628243,1477.116907423892,2190.949143248915,1151.9007403114022,1226.4151577978491,1351.7497863995086,1841.740119365992,1702.3426722935917,1247.229426562841,1309.2548767312503,1318.446806357584,1829.7513990257169,2049.913049803258,1657.537590390389,1736.7377955322368,983.784279415308,1269.405680066032,1062.5223379916592,1303.6932309637425,1718.3079045374225,1143.932558494864,1279.955210200966,978.15350503581,1123.8436253152402,1012.4569516278796,1236.8979981612106
P03,1729.8725387848474,1700.0655672309815,2094.467753265836,1513.3162574250478,2196.032476984456,1205.9016398508354,1787.453231034992,1572.967498511501,1980.4430497709748,2075.3912635728875,1601.4396714127715,2247.5258693557794,1509.1799656901364,1603.2456580714245,1939.282877646044,1071.9849713630124,1682.774151574548,1442.7127198828457,1470.082026650022,1526.2057144307266,1685.7366820293585,1944.888502305952,1526.656883532507,1518.18655283855,2025.2352275742364,1712.8984372867858,1595.7317675596178,1222.381880790872,1394.948903972072,1452.7728280145798,1219.0182001762664,1367.125485769645,2081.9131906036,1414.1684249693908,1057.8151630878135,2188.182227184888,1304.860540292015,1412.2849441124342,1128.7735286428592,1289.602895885835,1669.44814450463,2604.676816918953,1744.5107784149077,1422.5295529086302,2101.983729560543,1531.8865945547918,1840.0530204840725,1379.7078905394037,1206.4087688608488,1508.1498680548618
P04,940.9131318716986,677.8003920625697,1004.7906951269076,942.3246243194144,848.5848740882412,705.1071771020986,909.7564719941018,908.0700382373936,1071.6120333757722,918.2460283553414,819.0862784139334,796.7930104852272,732.521726402522,727.5631992074833,797.3763754151744,1321.1577254710803,725.5071942308641,885.7798861984802,956.682008055327,697.6544402929899,524.3427566737137,935.5579520593324,961.3434382172568,723.8364460860498,821.2099622875277,1035.8737664026216,973.8158114383784,856.5093346934461,752.3249678958625,937.0398910403912,1665.8866442637582,986.515480977993,927.3711936935892,762.2309207818294,874.1914747220601,896.4016375006213,985.0542510015244,893.5900312890511,1136.1224803305042,826.7711989803271,720.3276582309868,921.224591646304,800.1164420554871,832.3336315427921,958.9328285684056,1161.7432773857422,727.0622487136022,713.6276814437655,894.9037973253843,1094.5898580518692
P05,1211.138654216864,862.154279947311,928.448081304263,1360.753695082206,870.0806079268192,1092.126494164165,792.3449292805805,835.8425143329592,1318.2967773509756,854.3710238514288,972.1627777794904,677.5531517118388,756.7572777420338,775.8875487153108,807.2181014059186,766.3126133977115,1170.9214015848372,1270.3820763130989,677.4939695632537,751.9845080157809,1681.3465055979416,905.0256611173352,913.6241973994164,867.062077654742,863.7594712616645,1135.6160592691615,1119.6419707827506,1313.3601539634888,653.9218552478849,910.2978604414016,744.9610796664036,1005.4278553966238,1013.0063661533306,992.7343916012152,934.7384249213152,761.9318278676706,929.1054254857332,769.839522451253,779.4267643624804,1188.3501940051392,918.2108972845798,854.6805100661563,999.0627098233698,970.4365648880712,1321.529365644849,868.9160911917651,1065.7660970581644,1078.0547393156894,1053.6561044473956,987.4193749844128
P06,1729.258905902942,1699.4482270474198,1287.3717943195502,1104.6078238182397,1445.2761359484434,1200.68491807625,1937.1013820876835,1402.0171438881212,1381.733837392174,1184.926015024733,1258.76881012761,1313.0922444077798,1240.6937057636378,1606.2690112675675,1348.5613563001652,1284.465028764269,1417.9807883492572,1338.1522625370817,1973.5673049716124,1407.5910805014037,1378.8937839294772,2599.080502597504,945.5164811322596,1422.3096183891273,1472.5479328335437,1102.9243664193718,1415.5538963718668,1260.316754823548,1799.4127016297437,1254.633253821081,1231.0487970127103,1236.5645611163288,2051.610102470544,1299.5280573598566,1224.5252128878626,1399.59628144772,1270.022000002297,1686.6858939204308,1301.2496365513873,1420.522309227716,1698.3479079832316,1670.0655177439198,1446.8308768265065,1269.8320382135298,1144.8530601215264,1231.1045907156454,1412.801469835998,1168.966028226325,1173.3911272641662,1525.785365225729
P07,1208.8846908143432,1214.9174084419371,997.87143250262,646.3254271702981,746.3535440443803,610.4734079902322,953.673697916957,776.9090801079064,1027.5869826499693,1232.9414423672977,874.7594578707159,1056.483615960893,744.8020040267942,690.3046784611576,1257.0530284918602,1239.6413411197177,1288.330823327517,1167.5586820567253,1245.65298321849,671.1592501035941,1453.248479178383,1130.2231264880977,1085.3561609804672,1398.2624540980007,1352.3258349846185,1213.911240698607,1027.2169126302458,1147.2962184723433,979.4152602197236,894.1155879954684,856.9390724450908,630.0727824832786,1196.0681881985724,795.8087638504703,1009.528252660584,1226.0946225434122,874.0854358175217,949.8783341863468,660.9537465008361,714.3131031322636,988.201240203264,733.3868167010905,889.6846519632617,1038.5304264715528,787.772042047098,882.1707775521061,802.8142096532989,746.9970675719311,645.3526286156388,1041.2970404648418
P08,1621.2195434316693,1303.2237369880236,1400.623243789598,1806.394986209125,1869.8814707211693,1724.200524403226,2176.394050817651,1710.6822925635129,2867.839473227568,1669.4772992313897,1444.907400442827,3711.041550025952,2177.532775100143,1497.6530239962574,1467.5016160633083,1417.344520728704,1372.9035067572,1748.514549959414,1419.3010973424775,1367.3820093053023,1969.992086535553,1390.4173129316414,1322.6184886650958,1336.103182007043,1826.972589705464,1850.864421871786,1624.1288482542686,1868.7803764375667,2368.16124234308,1450.607281492654,2127.9284548882792,1254.3517876231276,1894.1895705290065,1911.3504833762604,2138.735878631547,1431.41496202472,2102.4768666340706,1344.241407311633,2774.3783826098074,1958.5009626191893,1715.1716279598447,1616.39956534332,1772.29166324393,2119.9750672674754,1503.5048466136686,1844.3111448488264,2119.4978665618205,1197.6891093562604,1585.5322625459946,1534.164691982283
P09,1284.8604681319205,869.3518531472237,1072.607814339974,1033.4594563507944,1322.823244926269,1031.4459081042542,1107.341329927817,933.5264051643557,1139.324656263732,1174.2040704510382,1121.0259305792983,980.5953023921144,1425.8726436077602,1020.3944721627216,1082.599529183237,836.3241995119489,1031.295573885127,2213.58255090464,1157.5658177707842,1334.401546811836,945.892719947896,1380.1360325678947,939.5875621048384,822.5102389236141,1444.8136463284698,1120.3561038069931,901.091845752042,838.5335715995953,1061.1874735343386,1002.5236626500016,991.9291517579466,1114.1200593743702,862.6917729339966,1102.0717917072857,1284.080024457304,1012.699106908472,1103.307390828211,994.7203413281844,1579.5674159359207,1010.1282831258231,1366.3681122426528,765.5665897563308,915.3347099816256,775.8825192487714,926.8007598869896,938.9249315086456,1295.4302147613523,1040.254470836515,1096.367679473078,1120.2092708805933
P10,1159.5470371217957,1511.5697531931687,1416.009234701513,1294.9114090124417,828.4543919529082,1010.0100403615336,1417.6281603690047,1017.2790017030776,1826.206135415081,1545.7001612956549,1051.437181588474,807.7759240348548,1626.049789436115,1492.4323130258504,1307.7814742639823,1088.1784499246776,1090.999070036533,962.5277748787546,972.1702994190722,828.534019938757,683.7582498776223,1394.7815464627026,1193.0265201078514,1099.8350055409044,1799.5103236512905,896.3860464153005,1309.1154841612658,949.976418682912,1631.7561292072185,809.8102142132303,1270.3698838720636,769.5006086705324,748.57759008146,1258.1240831074772,1680.1859323088377,1001.3268170766167,1168.186520217845,983.7982234052868,1207.3013777732324,1161.6704506331926,643.2648896375058,1053.385720289715,1364.0834298546656,1362.130832023519,841.8082356138842,1105.9564875895817,1112.1343425849705,1123.6578988067697,1280.4308588972042,711.9310410850766
