,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,-0.41991160427931584,-1.0252440576753565,-0.6819062351807238,0.0047354662663566,0.01607862560912208,0.0673929625019056,-0.3559036536356769,-0.4778638015270811,-0.07529502807328922,-0.32773182190945865,0.9829977099307824,-0.48365351114703703,-0.12684433375417176,0.09472659475061505,-0.12824673317976398,-0.2548743955063523,-0.5411289268777744,0.22387717572378396,-0.8937121671031201,-0.03311924859228059,0.21816617618796794,-0.054805266074143565,0.7323389225147818,-0.5669391008352019,0.1470090051162374,0.07358322629995175,-0.030456145900341406,0.09053184820963499,0.40336611876919065,-0.011045480904322473,0.2249622772839057,-0.8651129226199348,-0.37223813424102037,0.7181267247800105,0.641301833348053,-0.9190103134415629,-0.059684610855572404,-0.1474977579959918,-0.11230280032062646,-0.003051631759452361,-0.3055964731249265,0.5664124673238335,-0.3315885892720105,0.17648975630468255,0.1023031225230609,-0.07704259932744711,0.09854567034622962,0.048416754427966585,-0.5941184386774833,-0.0026035786178240463
P02,-0.35511397542548445,-0.20141035338210853,-0.9415974858006655,-0.4455384243045986,-0.8412741289830045,-1.2985400389034505,-0.8469166692158985,-0.6624769897652081,-0.400272713035425,-0.9786007369486788,-0.6390701265209272,-0.22515681063327359,-0.5167042917105427,-1.5202866201512248,-0.9527003221932357,-0.5934015979773479,-1.3109728262354596,-0.8212670612891464,-0.6083726564836375,-0.5722871966953965,-0.9168612273700124,-0.2860316392594299,-0.3561027918443841,-1.015758951511374,-0.8116527692536311,-1.2067121979594557,-1.8076300666651717,-0.9147494942297305,-0.6391294939704049,-0.7651478592647311,-0.8789294896096187,-0.05775465577327479,-0.3645168865676279,-0.43637966178338033,0.23864403926303204,-0.893602449010525,-1.391038882649771,-1.63590945276622,-0.6694059040790682,-0.47758753311695884,-1.0452952382386345,0.1483728883732179,-0.4039551022355691,-1.1889931870183372,0.28279099014708176,-0.48978992995358084,0.06133734102303173,-0.8169430910758912,-0.1408035921868073,-0.6041344001323413
P03,0.7186815016095478,-0.2888086103746691,0.2865622366252943,0.08502255044647528,1.31181698515805,0.32785310816526775,0.7007838617647656,-0.18602900470977993,0.9337644640035246,1.580870670454208,0.23138255767342705,1.218705564358114,0.5764879006373284,0.5653918886830631,0.8867819154683574,0.21233316281059111,0.3911085516037108,0.5573441637951118,0.49780267170072323,-0.07728142499865279,0.051903360720076216,0.829368820411409,0.4902090312178559,0.5747340470864589,1.1090570256382835,0.42805280252589584,1.1517309825393711,0.9562583548331088,0.6299282032527901,0.7482029717090334,0.36540896173326737,0.6937918274469711,1.566574544483856,0.44957017557794304,0.1249426481027395,0.1353709966703357,-0.062464510407232145,-0.05173521035870763,0.10465426050209992,0.406063563065798,0.030438223834255717,1.8672439881282767,0.3285280347411084,0.6130305755627388,-0.6409174247678073,0.6189191818272552,-0.5024690074670568,0.3332156565658046,0.7201729147432085,1.2276318171541798
P04,-0.24148086231233645,0.03272032874670381,-0.6327327491412135,0.0010028066397165544,-0.2097433889444107,-0.17484090140229044,-0.42754988297434754,0.10437700165975698,0.20794610333478,0.2031557530313481,-0.4548196841722853,-0.3538649504854,-0.27423302308014136,-0.4274724968403846,-0.15146674494351,0.11126136821978408,-0.023741272471613537,-0.03555680912078328,0.4428996393238622,0.03661108565701489,0.09408954200266509,-0.25307307158505254,0.2711878123319045,0.01439995150414773,-0.5630225733534747,0.4699696182828309,-0.04899620250533987,-0.37248250088667406,0.06509221210860888,-0.21894670057191734,-0.5925602553217383,0.1091223010377497,-0.0035122409384893594,0.17595477999299397,-0.08837229814863876,-0.013595237736286661,0.13929102622818373,-0.90159462514992,-0.2246544382562957,-0.39691309254089246,-0.3441053020465514,-0.10160801613167546,-0.13566159133624445,-0.29163133567956384,-0.5931588307149306,-0.4852870808518508,-0.21472642493081676,0.3668779582690973,-0.5571553933103266,-0.11632576417411264
P05,-0.6800769421916978,-0.7318716252731041,-0.11254141813595124,-0.8280964446123553,0.1889312891059186,-0.9079525407904828,-0.3654351685108666,0.31616536048234567,-0.9053655094106846,-0.3717291166408093,-0.41127927407255555,-0.3034235500456879,-0.4138679575805222,-0.27336458572874894,-0.15199266708918613,-0.36817913763937865,-0.8298678897545309,-0.9815649575266021,-0.7619494555256942,-0.5706868855893562,-0.9396786596966116,-0.7424261910575656,0.7326318770247504,0.18989416455954924,-0.6811391909287282,-0.4080295731654978,-0.19663328089551008,-1.6471073242230054,-0.4390395720848145,0.20967450922108388,-0.4549412509764337,-0.40578359834124333,-0.663405432082127,-0.9791825077552652,-0.46720750686378687,0.11999090103463163,-0.1589685872063018,-0.45588827682658684,-0.22761783524248155,-0.13261363407481822,-1.107409878737465,-0.40189073785377943,-0.40862190335835835,-0.35698408659522807,0.0008837711922425989,-0.7369209243770902,-0.8250329463581692,-0.9117776857535763,-0.6104274612659114,-0.2969840417238093
P06,-1.287114336386321,-0.46282730731571864,-1.3985099998645443,-0.5304135471327397,-1.2060922321913154,-1.0166915280145326,-1.5263721112495314,-1.0103008003914793,-1.1153277112958735,-0.8264219083358569,-1.24859900482951,-0.590945474130404,-0.7434019436562685,-0.8869315141539749,-1.2536357950557588,-0.9677228175782966,-0.8300852642767863,-1.396468662884385,-0.8746433170910951,-1.5098119567395145,-1.1487183639545608,-1.6442802893791606,-0.5603639824399892,-0.9009768871393807,-0.8913134252105499,-0.9459950276473713,-1.1220449117571838,-0.35781047156628654,-1.58591842391279,-1.1652513325881673,-1.0101730590313311,-1.1281562779826744,-1.21728843522476,-0.8232267156853917,-1.2722346220110334,-0.9581231664141918,-0.5933137641053262,-1.0645454704627375,-1.1552844497727217,-1.2894106306624766,-1.8472173154049443,-0.9037534985691257,-0.5752195980396619,-1.0712858206438252,-0.936587973530517,-0.7472330609495237,-1.7346700835768825,-0.7845808445154577,-1.2408231352395136,-1.620647224470905
P07,1.1215561608570974,0.787334885619236,0.8366894787107145,-0.019504779368803942,0.40434593532560403,-0.003778376908898086,-0.1796853204195741,-0.33113036231796955,0.974694178827576,0.8029400089001896,0.05930412244577343,-0.5880889849783847,0.65058258077871,-0.23229084511121534,-0.295998733540691,-0.4376341167854522,-0.2521288015462592,-0.46734204107071053,0.6271020290302095,0.1412578675702749,-0.5268055699932358,-0.1843017641974808,0.47485268796755686,-0.3215971512853432,0.41974893351804493,1.1112580010785447,0.81194662621604,0.19415118995441832,0.26471755225757276,0.11805182635273023,-0.20388151550050373,0.39986260261836387,0.4201398579711988,0.06877993502992949,0.09312113121653662,1.014355184731107,-0.25447055584823913,0.1946933285749565,0.4215498214113473,0.15441564938203461,-0.14757762871676122,0.06786995125566857,-0.23973388612277455,0.3695295801673573,-0.0064808710158414115,-0.37140495892628056,0.16989192671754577,-0.403710744013786,0.03692227534629041,0.8604174296884978
P08,-0.13894378432310747,-0.24549892737274145,-0.5469429380634242,0.3242672951647055,-0.058880765352944335,0.054442255488256396,0.0698303601312642,-0.08767852036438475,-0.4454843078353412,-0.017080312839452924,0.5054435391992897,-1.289734172341961,-0.1587623352926884,0.015304483981377239,-0.0823389428065697,0.09508821862082753,0.3166499800855688,-0.758164454458629,-0.8741630676832824,-0.395163380732053,-0.742024963652482,-0.3829518761390681,-0.1299496551914364,-0.5137266056651457,-0.6238016202025285,-0.33122947212681164,-0.46216841099029665,-0.558162771268735,-0.5297568954482265,0.32139710704019686,-0.08515999248675016,0.08860580858643424,-0.30555164100535764,-0.9338348370698624,-0.321136114981352,0.25519716996609754,-0.24722876806274074,-0.4141831376913255,-0.44861648205126037,0.1525823762096558,-1.036790041951196,-0.5264487618534545,-0.26984764214466106,0.024581905520034954,0.018513320729510563,-0.6337881143720941,-0.7368297003965062,-0.002558750159648383,-0.650033528388997,-0.47336955323887736
P09,-0.8371177626419821,-0.3830305094778175,-0.5362709189744623,0.05023012354366271,-0.48320957158483124,-0.4671114775383465,-0.6382926119709224,-0.9484861017970261,0.032700203030580785,-0.604965209573284,-0.42137334123248726,0.39774656161025324,-0.6603848937310466,-0.3781610181166153,0.4971704414585194,-0.06370441232148293,-0.6999167089267674,-1.0896501477389229,-0.7585629492424366,-0.7917175898271984,-0.5609764106455928,-0.17792788566421258,-0.4920148369710489,-0.07441854352749423,-1.713287653803829,-0.499365499400941,0.28392083271905116,-0.4398073990242603,-0.3515274027109504,-0.5235407113509435,-0.3163449741161944,-0.6247732652809775,-0.5127068989805291,-0.9024316753454681,-0.9548578442471034,0.055662194308362146,-0.7622522603443133,-0.45010691955676935,-1.523370181748414,-0.7358927008760521,-0.9128036891181244,-0.5358314999503819,-0.9671597504380283,-0.9573244988263878,-0.35559710653636933,-0.9205552885293868,-0.9680016857619115,-0.5147722169709718,-0.4437633883326736,-0.754506503328463
P10,0.577253927642764,0.5522240335465632,-0.44028321117640495,0.7627182009296319,0.19602422173257736,0.1973997414305153,0.8075291168340312,0.24071161231489296,0.9371337932752235,0.8845035031380967,0.9151720593644259,0.18817920502361216,1.129458136023029,1.2453460707381856,0.5967018117202746,0.39396731426073817,0.7098207499060211,0.25501478726729254,0.4708005540301406,0.6312153968298501,0.20943546661396417,0.7515547450809742,0.04195974045433016,0.847014246864809,1.6893404519614879,0.41934596080202563,-0.24101616932664147,0.33355653523692574,1.1511880936523535,0.1163569188859371,0.9163463287086304,0.2238665420696675,0.3776057028757017,0.8130553341063302,0.9760490881572286,-0.3765209004854167,0.6665676221763086,0.4379692879580726,0.91055839449576,0.7112491432607236,0.1880185814856437,0.6483105029603988,0.5716953024378377,0.7121724334481431,0.529509281213091,0.2667962980141366,0.6869462911803695,0.8029956164792653,0.6335658096873151,0.5648053061315857
