,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
P01,30,38,36,47,32,32,34,38,40,36,47,38,36,31,34,34,41,34,37,37,40,36,45,32,39,40,36,40,41,39,34,42,37,43,35,37,35,35,35,39,39,43,41,42,39,35,42,48,41,40
P02,35,46,41,29,32,33,25,33,24,33,30,42,34,25,41,39,40,37,35,27,46,32,38,34,35,40,31,34,39,34,39,32,42,37,34,33,33,45,28,54,34,28,39,36,28,37,34,38,45,34
P03,35,32,37,32,36,39,27,28,25,23,31,39,29,37,33,24,24,35,30,41,34,27,33,28,39,32,35,29,29,32,31,31,36,22,36,25,28,36,32,34,34,21,35,25,26,36,33,25,34,31
P04,29,26,33,39,36,31,31,36,31,24,41,43,31,39,38,46,27,32,32,37,48,23,38,34,33,38,36,38,35,23,31,21,36,34,29,27,29,43,27,36,39,22,39,38,34,30,30,39,39,36
P05,41,39,33,41,38,39,36,28,32,41,43,45,30,33,37,36,37,35,44,40,37,38,38,40,48,39,39,37,49,36,39,38,37,43,35,31,40,34,32,47,41,41,38,38,38,39,38,42,39,39
P06,42,32,38,41,35,40,34,40,39,40,41,40,33,31,46,35,35,33,30,41,39,34,41,38,33,40,41,37,37,27,35,37,41,45,41,37,37,36,41,43,31,41,44,34,35,41,36,41,38,33
P07,34,30,28,36,23,29,27,28,36,29,27,32,26,22,35,33,25,29,30,27,29,27,29,30,27,30,29,31,27,40,30,29,29,38,23,33,31,28,40,36,41,33,34,33,27,35,27,36,31,30
P08,36,36,46,34,35,29,32,39,30,32,32,36,34,45,34,39,45,32,34,31,32,42,44,38,41,28,30,35,37,41,42,47,39,37,38,42,37,29,41,32,38,44,37,27,37,34,36,37,38,30
P09,29,41,32,25,27,35,31,33,35,38,38,37,35,31,29,33,31,33,40,26,31,28,23,32,31,28,30,39,27,29,31,37,41,32,37,27,32,47,29,40,34,35,36,32,35,36,28,29,32,26
P10,32,30,31,28,38,41,28,37,40,40,26,28,30,25,31,30,25,27,29,32,29,26,30,32,36,31,26,29,33,33,33,30,37,24,31,24,33,27,34,33,26,28,38,22,21,39,34,32,33,30
P11,53,65,32,46,47,43,40,41,43,40,35,24,57,58,37,48,46,34,34,31,54,38,48,58,48,40,53,44,42,35,47,44,39,66,77,56,52,47,39,50,53,45,56,38,41,39,31,27,25,63
P12,52,56,51,53,51,46,58,48,47,48,45,43,57,45,44,46,49,39,36,45,43,54,48,48,52,42,32,40,38,62,69,52,69,67,46,31,48,34,38,36,38,39,33,35,40,39,36,40,40,41
P13,48,53,47,70,50,50,61,46,54,57,51,54,59,48,54,56,59,55,64,47,61,63,68,60,51,48,56,49,57,50,66,51,57,53,52,52,40,47,53,60,44,54,59,66,58,53,57,54,46,65
P14,64,58,66,58,64,62,59,55,64,70,62,70,52,49,61,51,64,46,48,52,45,52,44,59,63,44,51,55,48,47,70,50,54,42,43,54,49,53,59,56,36,46,63,78,68,46,66,52,63,66
P15,47,39,56,34,49,39,54,38,45,45,40,39,44,45,42,39,46,32,40,45,40,38,43,46,46,44,56,41,51,33,44,33,39,50,49,34,44,40,46,41,44,34,42,41,42,34,44,38,43,45
P16,60,51,68,49,49,45,72,59,54,50,59,56,48,51,51,45,43,63,42,45,54,54,35,38,52,46,48,51,61,51,51,47,59,62,43,53,53,48,55,49,51,48,57,51,63,46,59,64,52,49
P17,41,45,39,44,41,34,32,52,34,31,33,35,37,39,39,34,38,43,40,40,40,39,48,48,40,44,41,47,36,37,44,45,42,41,42,48,46,40,40,39,50,48,43,41,41,53,46,44,52,43
P18,42,24,32,28,37,30,30,20,33,21,33,29,36,28,41,27,34,19,37,44,37,28,48,25,38,27,35,29,34,33,32,23,32,31,35,33,27,43,36,31,40,33,29,41,31,23,41,35,39,32
P19,55,50,46,32,40,38,35,34,47,41,60,51,57,52,59,55,56,67,60,44,60,77,57,65,71,78,63,58,66,56,69,47,67,59,61,66,56,70,67,60,49,66,56,53,50,47,58,60,62,60
P20,32,34,29,29,32,41,31,49,39,36,28,36,28,41,39,22,42,29,26,31,25,24,25,11,10,26,39,34,17,31,33,34,37,53,37,40,44,52,47,49,39,37,54,29,28,15,36,35,25,20
